study_id,study_short_name,variant_id,variant_name,variant_kind,level,n_rows,n_success,graph_score_mean,graph_score_std,spearman_good_neutral_bad,auc_good_vs_bad
4,propagation_ablation,base,Baseline,baseline,edge-propagation,8,8,0.7253042307871419,0.01357632970542517,nan,0.5
4,propagation_ablation,penalty_off,Disable trust propagation penalty,penalty_toggle,edge-propagation,8,8,0.7292619741739228,0.013473396555729966,nan,0.5
4,propagation_ablation,agg_mean,Propagation aggregate = mean,penalty_mode,edge-propagation,8,8,0.7253042307871419,0.01357632970542517,nan,0.5
4,propagation_ablation,agg_softmin,Propagation aggregate = softmin,penalty_mode,edge-propagation,8,8,0.7253042307871419,0.01357632970542517,nan,0.5
4,propagation_ablation,agg_dampmin,Propagation aggregate = dampmin,penalty_mode,edge-propagation,8,8,0.7253042307871419,0.01357632970542517,nan,0.5
4,propagation_ablation,alpha_05,Propagation alpha = 0.5,penalty_param,edge-propagation,8,8,0.7285849363527467,0.013763215480006653,nan,0.5
4,propagation_ablation,alpha_20,Propagation alpha = 2.0,penalty_param,edge-propagation,8,8,0.7207900420515116,0.013221291220276701,nan,0.5
4,propagation_ablation,eta_100,Trust gate eta = 1.0 (no floor attenuation),penalty_param,edge-propagation,8,8,0.7327029262971442,0.01382854201833906,nan,0.5
4,propagation_ablation,eta_070,Trust gate eta = 0.7,penalty_param,edge-propagation,8,8,0.7072815840826538,0.012878100992181962,nan,0.5
4,propagation_ablation,drop_edges_low_alignment,Drop edges with alignment < 0.05,drop_edges_by_feature_threshold,edge-propagation,8,8,0.7253042307871419,0.01357632970542517,nan,0.5
