component__best_path__mean,component__bridge_coverage__mean,component__coherence__mean,component__coverage__mean,component__fragility__mean,component__redundancy__mean,component__score_raw__mean,graph_score_max,graph_score_mean,graph_score_min,graph_score_std,n_rows,n_success,paper_id,paper_key,rating,sheet,title,variant_id,variant_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500000007,0.1500000007,0.1500000007,0.0,64,40,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,"Co-Integration and Error Correction: Representation, Estimation, and Testing",drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,001,Economics__001__likelihood-based-inference-in-cointegrated-models,Good,Economics,Likelihood-Based Inference in Cointegrated Models,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,56,0,002,Economics__002__a-simple-estimator-of-cointegrating-vectors,Good,Economics,A Simple Estimator of Cointegrating Vectors,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,56,0,003,Economics__003__the-time-interpretation-of-expected-utility-theory,Good (theory),Economics,The Time Interpretation of Expected Utility Theory,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,004,Economics__004__production-information-costs-and-economic-organization,Good,Economics,"Production, Information Costs, and Economic Organization",drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,005,Economics__005__almost-ideal-demand-system,Good,Economics,Almost Ideal Demand System,drop_edges_low_alignment,Drop edges with alignment < 0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500000007,0.1500000007,0.1500000007,0.0,56,8,006,Economics__006__optimal-taxation-and-public-production,Good,Economics,Optimal Taxation and Public Production,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,007,Economics__007__national-debt-in-a-neoclassical-growth-model,Good,Economics,National Debt in a Neoclassical Growth Model,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,56,0,008,Economics__008__survival-of-the-un-fittest-why-the-worst-infrastructure-gets-built-and-what-we-c,Good,Economics,Survival of the Un-fittest: Why the Worst Infrastructure Gets Built -- and What We Can Do About It,drop_edges_low_alignment,Drop edges with alignment < 0.05
0.5514586106525411,0.6,1.0,1.0,0.0668046778556919,0.6666666666666666,0.5778439509847815,0.7329411538858163,0.7278439505290935,0.7240276251544268,0.0028517017522918164,64,8,009,Economics__009__the-colonial-origins-of-comparative-development-an-empirical-investigation,Good,Economics,The Colonial Origins of Comparative Development: An Empirical Investigation,drop_edges_low_alignment,Drop edges with alignment < 0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500000007,0.1500000007,0.1500000007,0.0,56,8,010,Economics__010__political-selection-and-persistence-of-bad-governments,Neutral,Economics,Political selection and persistence of bad governments,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,011,Economics__011__monetary-economics-from-econophysics-perspective,Neutral,Economics,Monetary economics from econophysics perspective,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,012,Economics__012__expected-growth-criterion-an-axiomatization,Neutral,Economics,Expected Growth Criterion: An Axiomatization,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,013,Economics__013__labour-by-design-contributions-of-david-card-joshua-angrist-and-guido-imbens,Neutral,Economics,"Labour by Design: Contributions of David Card, Joshua Angrist, and Guido Imbens",drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,014,Economics__014__hypothetical-bias-in-stated-choice-experiments-part-i-integrative-synthesis-of-e,Neutral,Economics,"Hypothetical bias in stated choice experiments: Part I. Integrative synthesis of empirical 
evidence and conceptualisation of external validity",drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,015,Economics__015__physics-and-financial-economics-1776-2014-puzzles-ising-and-agent-based-models,Neutral,Economics,"Physics and Financial Economics (1776-2014) Puzzles, Ising and Agent-Based models",drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,016,Economics__016__ergodicity-economics-in-plain-english,Neutral,Economics,Ergodicity Economics in Plain English,drop_edges_low_alignment,Drop edges with alignment < 0.05
0.42081947238307066,0.75,0.9523809523809523,0.6666666666666666,0.0749752664635207,1.0,0.5933633400310014,0.7452394075598879,0.7433633395442747,0.7377824900615028,0.002317571760164596,64,8,017,Economics__017__state-level-policy-uncertainty-and-economic-performance,Neutral,Economics,State-level policy uncertainty and economic performance,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,018,Economics__018__the-cost-benefit-fallacy-why-cost-benefit-analysis-is-broken-and-how-to-fix-it,Neutral,Economics,The Cost-Benefit Fallacy: Why Cost-Benefit Analysis Is Broken and How to Fix It,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,48,0,019,Economics__019__why-your-it-project-may-be-riskier-than-you-think-new-research-shows-surprisingl,Neutral,Economics,Why Your IT Project May Be Riskier than You Think New research shows surprisingly high numbers of out-of-control tech projects — ones that can sink entire companies and careers.,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,020,Economics__020__ergodicity-economics-is-pseudoscience,Bad,Economics,‘Ergodicity Economics’ is Pseudoscience,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,021,Economics__021__what-are-we-weighting-for-a-mechanistic-model-for-probability-weighting,Bad,Economics,What are we weighting for? A mechanistic model for probability weighting,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,48,0,022,Economics__022__commentary-on-addressing-the-malaise-in-neoclassical-economics-a-call-for-partia,Bad,Economics,"Commentary on ""Addressing the Malaise in neoclassical economics: A call for partial Models""",drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,023,Economics__023__switching-economics-for-physics-and-the-carbon-price-inflation-problems-in-integ,Neutral,Economics,Switching Economics for Physics and the Carbon Price Inflation: Problems in Integrated Assessment Models and their Implications,drop_edges_low_alignment,Drop edges with alignment < 0.05
0.5595314930933287,0.6470588235294118,1.0,1.0,0.12385824311234844,1.0,0.6330688426888329,0.7869728105884566,0.7830688421226951,0.7782597427895755,0.002782067795186495,64,8,024,Economics__024__the-two-growth-rates-of-the-economy,Bad,Economics,The Two Growth Rates of the Economy,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,025,Economics__025__land-bubbles-despite-non-vanishing-rents,Bad,Economics,Land Bubbles Despite Non-Vanishing Rents,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,026,Economics__026__quantum-propensity-in-economics,Bad,Economics,Quantum propensity in economics,drop_edges_low_alignment,Drop edges with alignment < 0.05
,,,,,,,nan,nan,nan,nan,64,0,027,Economics__027__switching-economics-for-physics-and-the-carbon-price-inflation-problems-in-integ,Bad,Economics,Switching Economics for Physics and the Carbon Price Inflation: Problems in Integrated Assessment Models and their Implications,drop_edges_low_alignment,Drop edges with alignment < 0.05
