paper_key,paper_id,sheet,title,rating,n_trials,score_mean,score_std,score_cv,k_mean_range,n_unique_k
Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,000,Economics,"Co-Integration and Error Correction: Representation, Estimation, and Testing",Good,64,0.1240083584375,0.19812585358751095,1.5976814473144247,0.5994883525,8
Economics__001__likelihood-based-inference-in-cointegrated-models,001,Economics,Likelihood-Based Inference in Cointegrated Models,Good,64,0.3261185640625,0.30360486928895175,0.9309646942722538,0.68905856875,8
Economics__002__a-simple-estimator-of-cointegrating-vectors,002,Economics,A Simple Estimator of Cointegrating Vectors,Good,56,0.6780647466071429,0.1460729399166528,0.21542624159059034,0.44177992625000007,7
Economics__003__the-time-interpretation-of-expected-utility-theory,003,Economics,The Time Interpretation of Expected Utility Theory,Good (theory),56,0.4412201519642857,0.18339033897866724,0.4156436150121984,0.651089495,7
Economics__004__production-information-costs-and-economic-organization,004,Economics,"Production, Information Costs, and Economic Organization",Good,64,0.55581302625,0.12887829922646132,0.23187347748214338,0.33899740249999993,8
Economics__005__almost-ideal-demand-system,005,Economics,Almost Ideal Demand System,Good,64,0.5602073746875,0.2162784418658483,0.38606853754200343,0.71974349625,8
Economics__006__optimal-taxation-and-public-production,006,Economics,Optimal Taxation and Public Production,Good,56,0.44865787357142856,0.29712302998995305,0.6622485584054942,0.72649478125,7
Economics__007__national-debt-in-a-neoclassical-growth-model,007,Economics,National Debt in a Neoclassical Growth Model,Good,64,0.60356734609375,0.23383528438506793,0.38742202655335023,0.7567398675,8
Economics__008__survival-of-the-un-fittest-why-the-worst-infrastructure-gets-built-and-what-we-c,008,Economics,Survival of the Un-fittest: Why the Worst Infrastructure Gets Built -- and What We Can Do About It,Good,56,0.7075171283928572,0.07280835504947386,0.10290684441076339,0.23371811749999993,7
Economics__009__the-colonial-origins-of-comparative-development-an-empirical-investigation,009,Economics,The Colonial Origins of Comparative Development: An Empirical Investigation,Good,64,0.69478435515625,0.11081505983150783,0.15949561761013836,0.31123654875,8
Economics__010__political-selection-and-persistence-of-bad-governments,010,Economics,Political selection and persistence of bad governments,Neutral,56,0.4741986491071429,0.30607839767584955,0.6454645078642824,0.77483325375,7
Economics__011__monetary-economics-from-econophysics-perspective,011,Economics,Monetary economics from econophysics perspective,Neutral,64,0.70558450640625,0.056609335294681117,0.08023041149671661,0.17999132499999992,8
Economics__012__expected-growth-criterion-an-axiomatization,012,Economics,Expected Growth Criterion: An Axiomatization,Neutral,64,0.6104093784375,0.10227283770759223,0.16754794621502359,0.32129166249999996,8
Economics__013__labour-by-design-contributions-of-david-card-joshua-angrist-and-guido-imbens,013,Economics,"Labour by Design: Contributions of David Card, Joshua Angrist, and Guido Imbens",Neutral,64,0.59412791515625,0.08165128556083104,0.13743048168231167,0.2648983949999999,8
Economics__014__hypothetical-bias-in-stated-choice-experiments-part-i-integrative-synthesis-of-e,014,Economics,"Hypothetical bias in stated choice experiments: Part I. Integrative synthesis of empirical 
evidence and conceptualisation of external validity",Neutral,64,0.5791259959375,0.1950673610327649,0.3368306075036162,0.62481819125,8
