k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.69766237,,,,
1,1,1,0.68390057,,,,
1,2,1,0.69070162,,,,
1,3,1,0.68559422,,,,
1,4,1,0.69138440,,,,
1,5,1,0.68954815,,,,
1,6,1,0.68747118,,,,
1,7,1,0.68620604,,,,
2,0,1,0.63594838,,,,
2,1,1,0.63868189,,,,
2,2,1,0.63560695,,,,
2,3,1,0.63830600,,,,
2,4,1,0.63447784,,,,
2,5,1,0.63805186,,,,
2,6,1,0.63813790,,,,
2,7,1,0.63654186,,,,
3,0,1,0.00000000,,,,
3,1,1,0.00000000,,,,
3,2,1,0.00000000,,,,
3,3,1,0.00000000,,,,
3,4,1,0.00000000,,,,
3,5,1,0.00000000,,,,
3,6,1,0.00000000,,,,
3,7,1,0.00000000,,,,
4,0,1,0.50493540,,,,
4,1,1,0.50747566,,,,
4,2,1,0.50554092,,,,
4,3,1,0.51000201,,,,
4,4,1,0.50321618,,,,
4,5,1,0.49301053,,,,
4,6,1,0.50666219,,,,
4,7,1,0.49437919,,,,
5,0,1,0.12228317,,,,
5,1,1,0.11359275,,,,
5,2,1,0.11656975,,,,
5,3,1,0.11652464,,,,
5,4,1,0.12351607,,,,
5,5,1,0.11073604,,,,
5,6,1,0.11066086,,,,
5,7,1,0.11269063,,,,
6,0,1,0.67214761,,,,
6,1,1,0.67211711,,,,
6,2,1,0.66531295,,,,
6,3,1,0.67726259,,,,
6,4,1,0.63510980,,,,
6,5,1,0.67697154,,,,
6,6,1,0.64238645,,,,
6,7,1,0.67026283,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
