k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.76018755,,,,
0,1,1,0.75517332,,,,
0,2,1,0.75106586,,,,
0,3,1,0.76154765,,,,
0,4,1,0.76061574,,,,
0,5,1,0.76401468,,,,
0,6,1,0.74114301,,,,
0,7,1,0.76539249,,,,
1,0,1,0.76722931,,,,
1,1,1,0.76526194,,,,
1,2,1,0.76147752,,,,
1,3,1,0.76441040,,,,
1,4,1,0.76604294,,,,
1,5,1,0.76780740,,,,
1,6,1,0.76548752,,,,
1,7,1,0.76808202,,,,
2,0,1,0.71152024,,,,
2,1,1,0.71545563,,,,
2,2,1,0.71755800,,,,
2,3,1,0.70986148,,,,
2,4,1,0.71544544,,,,
2,5,1,0.71302097,,,,
2,6,1,0.71075220,,,,
2,7,1,0.71668088,,,,
3,0,1,0.32557089,,,,
3,1,1,0.31936881,,,,
3,2,1,0.32921883,,,,
3,3,1,0.32325920,,,,
3,4,1,0.31827499,,,,
3,5,1,0.32534536,,,,
3,6,1,0.32433047,,,,
3,7,1,0.32619109,,,,
4,0,1,0.71310822,,,,
4,1,1,0.71228142,,,,
4,2,1,0.71204338,,,,
4,3,1,0.71481672,,,,
4,4,1,0.71509842,,,,
4,5,1,0.70987973,,,,
4,6,1,0.71607306,,,,
4,7,1,0.72124027,,,,
5,0,1,0.76092298,,,,
5,1,1,0.71528691,,,,
5,2,1,0.71228832,,,,
5,3,1,0.76098910,,,,
5,4,1,0.75700539,,,,
5,5,1,0.76369962,,,,
5,6,1,0.71246666,,,,
5,7,1,0.76284605,,,,
6,0,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
6,1,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
6,2,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
6,3,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
6,4,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
6,5,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
6,6,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
6,7,0,,dag_validation_failed,dag_validation_failed,nodes[2] id error: Unsupported id type: <class 'NoneType'>,
7,0,1,0.72610932,,,,
7,1,1,0.73564407,,,,
7,2,1,0.72350892,,,,
7,3,1,0.72969126,,,,
7,4,1,0.72259740,,,,
7,5,1,0.72701121,,,,
7,6,1,0.73456458,,,,
7,7,1,0.72565897,,,,
