k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.32404872,,,,
0,1,1,0.35782268,,,,
0,2,1,0.33433949,,,,
0,3,1,0.31950901,,,,
0,4,1,0.34519865,,,,
0,5,1,0.34161733,,,,
0,6,1,0.33725008,,,,
0,7,1,0.33447549,,,,
1,0,1,0.43828042,,,,
1,1,1,0.45085439,,,,
1,2,1,0.43865387,,,,
1,3,1,0.44689521,,,,
1,4,1,0.43320984,,,,
1,5,1,0.44678876,,,,
1,6,1,0.45294867,,,,
1,7,1,0.44366587,,,,
2,0,1,0.75443949,,,,
2,1,1,0.75449862,,,,
2,2,1,0.76098042,,,,
2,3,1,0.76060796,,,,
2,4,1,0.75489927,,,,
2,5,1,0.75851055,,,,
2,6,1,0.76023623,,,,
2,7,1,0.75476847,,,,
3,0,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
3,1,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
3,2,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
3,3,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
3,4,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
3,5,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
3,6,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
3,7,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example',
4,0,1,0.43914975,,,,
4,1,1,0.43811307,,,,
4,2,1,0.43713032,,,,
4,3,1,0.43650353,,,,
4,4,1,0.43507330,,,,
4,5,1,0.43758025,,,,
4,6,1,0.43839479,,,,
4,7,1,0.44504266,,,,
5,0,1,0.54566651,,,,
5,1,1,0.55080620,,,,
5,2,1,0.57042910,,,,
5,3,1,0.55390108,,,,
5,4,1,0.54618831,,,,
5,5,1,0.54493421,,,,
5,6,1,0.53392097,,,,
5,7,1,0.55309439,,,,
6,0,1,0.45301197,,,,
6,1,1,0.45438449,,,,
6,2,1,0.46500188,,,,
6,3,1,0.45711694,,,,
6,4,1,0.45254086,,,,
6,5,1,0.45460450,,,,
6,6,1,0.45236970,,,,
6,7,1,0.45864519,,,,
7,0,1,0.10016439,,,,
7,1,1,0.10419386,,,,
7,2,1,0.11610184,,,,
7,3,1,0.11737984,,,,
7,4,1,0.10625370,,,,
7,5,1,0.10828347,,,,
7,6,1,0.09437579,,,,
7,7,1,0.10347216,,,,
