k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.44852304,,,,
0,1,1,0.44825018,,,,
0,2,1,0.44369705,,,,
0,3,1,0.44868791,,,,
0,4,1,0.44767873,,,,
0,5,1,0.44567756,,,,
0,6,1,0.44856042,,,,
0,7,1,0.44431129,,,,
1,0,1,0.37421199,,,,
1,1,1,0.37746181,,,,
1,2,1,0.37453259,,,,
1,3,1,0.37545866,,,,
1,4,1,0.37662423,,,,
1,5,1,0.37232082,,,,
1,6,1,0.38192754,,,,
1,7,1,0.37528390,,,,
2,0,1,0.66278341,,,,
2,1,1,0.66000686,,,,
2,2,1,0.66751063,,,,
2,3,1,0.66000214,,,,
2,4,1,0.66624923,,,,
2,5,1,0.66268008,,,,
2,6,1,0.66309785,,,,
2,7,1,0.65790643,,,,
3,0,1,0.70168266,,,,
3,1,1,0.70224985,,,,
3,2,1,0.70403834,,,,
3,3,1,0.70596869,,,,
3,4,1,0.70379448,,,,
3,5,1,0.70810409,,,,
3,6,1,0.70482191,,,,
3,7,1,0.70639551,,,,
4,0,1,0.66382746,,,,
4,1,1,0.66226747,,,,
4,2,1,0.66093093,,,,
4,3,1,0.66044362,,,,
4,4,1,0.66218931,,,,
4,5,1,0.66309386,,,,
4,6,1,0.65710470,,,,
4,7,1,0.66225487,,,,
5,0,1,0.58915757,,,,
5,1,1,0.59899745,,,,
5,2,1,0.59344934,,,,
5,3,1,0.59469177,,,,
5,4,1,0.59941915,,,,
5,5,1,0.59908806,,,,
5,6,1,0.59490930,,,,
5,7,1,0.58657911,,,,
6,0,1,0.36817418,,,,
6,1,1,0.35900882,,,,
6,2,1,0.36709092,,,,
6,3,1,0.37067156,,,,
6,4,1,0.36623624,,,,
6,5,1,0.36718866,,,,
6,6,1,0.36035687,,,,
6,7,1,0.36634906,,,,
7,0,1,0.63934653,,,,
7,1,1,0.63048491,,,,
7,2,1,0.63397964,,,,
7,3,1,0.63999462,,,,
7,4,1,0.63160643,,,,
7,5,1,0.63269315,,,,
7,6,1,0.63565278,,,,
7,7,1,0.63429546,,,,
