k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.58640790,,,,
0,1,1,0.59803463,,,,
0,2,1,0.59513369,,,,
0,3,1,0.58764306,,,,
0,4,1,0.59014647,,,,
0,5,1,0.59066437,,,,
0,6,1,0.59405935,,,,
0,7,1,0.59852378,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.71987033,,,,
2,1,1,0.71656672,,,,
2,2,1,0.72402007,,,,
2,3,1,0.71693264,,,,
2,4,1,0.72540479,,,,
2,5,1,0.71525501,,,,
2,6,1,0.71991799,,,,
2,7,1,0.71998042,,,,
3,0,1,0.58322096,,,,
3,1,1,0.59031952,,,,
3,2,1,0.57489177,,,,
3,3,1,0.59505189,,,,
3,4,1,0.57937380,,,,
3,5,1,0.58533719,,,,
3,6,1,0.59021803,,,,
3,7,1,0.58079802,,,,
4,0,1,0.61781927,,,,
4,1,1,0.62835843,,,,
4,2,1,0.62627979,,,,
4,3,1,0.63316817,,,,
4,4,1,0.62392842,,,,
4,5,1,0.62544763,,,,
4,6,1,0.63104129,,,,
4,7,1,0.63695298,,,,
5,0,1,0.66812598,,,,
5,1,1,0.67398581,,,,
5,2,1,0.66680161,,,,
5,3,1,0.67278730,,,,
5,4,1,0.65807873,,,,
5,5,1,0.64302864,,,,
5,6,1,0.65994338,,,,
5,7,1,0.67022249,,,,
6,0,1,0.59630643,,,,
6,1,1,0.60695278,,,,
6,2,1,0.61013705,,,,
6,3,1,0.61666882,,,,
6,4,1,0.60180855,,,,
6,5,1,0.60923949,,,,
6,6,1,0.61989793,,,,
6,7,1,0.60738639,,,,
7,0,1,0.67989501,,,,
7,1,1,0.67799235,,,,
7,2,1,0.68777262,,,,
7,3,1,0.68624802,,,,
7,4,1,0.68572017,,,,
7,5,1,0.68929187,,,,
7,6,1,0.67826674,,,,
7,7,1,0.68594544,,,,
