k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
1,1,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
1,2,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
1,3,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
1,4,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
1,5,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
1,6,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
1,7,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Theorem',
2,0,1,0.00000000,,,,
2,1,1,0.00000000,,,,
2,2,1,0.00000000,,,,
2,3,1,0.00000000,,,,
2,4,1,0.00000000,,,,
2,5,1,0.00000000,,,,
2,6,1,0.00000000,,,,
2,7,1,0.00000000,,,,
3,0,1,0.59407894,,,,
3,1,1,0.60189549,,,,
3,2,1,0.59741362,,,,
3,3,1,0.60296384,,,,
3,4,1,0.59600750,,,,
3,5,1,0.60493131,,,,
3,6,1,0.60549232,,,,
3,7,1,0.59725897,,,,
4,0,1,0.44299325,,,,
4,1,1,0.43709306,,,,
4,2,1,0.44051819,,,,
4,3,1,0.44566330,,,,
4,4,1,0.45033063,,,,
4,5,1,0.43932844,,,,
4,6,1,0.44049308,,,,
4,7,1,0.43229369,,,,
5,0,1,0.72754201,,,,
5,1,1,0.72701923,,,,
5,2,1,0.72903980,,,,
5,3,1,0.73247144,,,,
5,4,1,0.72086526,,,,
5,5,1,0.72432699,,,,
5,6,1,0.72686283,,,,
5,7,1,0.72383069,,,,
6,0,1,0.71613503,,,,
6,1,1,0.71662452,,,,
6,2,1,0.71568643,,,,
6,3,1,0.71141413,,,,
6,4,1,0.72004590,,,,
6,5,1,0.72211890,,,,
6,6,1,0.71522016,,,,
6,7,1,0.72625566,,,,
7,0,1,0.64727793,,,,
7,1,1,0.65600358,,,,
7,2,1,0.66687600,,,,
7,3,1,0.64938435,,,,
7,4,1,0.64922380,,,,
7,5,1,0.65903523,,,,
7,6,1,0.65864688,,,,
7,7,1,0.65417854,,,,
