k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.59383908,,,,
0,1,1,0.59771703,,,,
0,2,1,0.58889060,,,,
0,3,1,0.58903276,,,,
0,4,1,0.59427895,,,,
0,5,1,0.59308277,,,,
0,6,1,0.58503919,,,,
0,7,1,0.59658329,,,,
1,0,1,0.66856860,,,,
1,1,1,0.66593013,,,,
1,2,1,0.67085821,,,,
1,3,1,0.66731335,,,,
1,4,1,0.67148708,,,,
1,5,1,0.66465080,,,,
1,6,1,0.66905368,,,,
1,7,1,0.66499088,,,,
2,0,1,0.67015778,,,,
2,1,1,0.67166634,,,,
2,2,1,0.66645957,,,,
2,3,1,0.67367480,,,,
2,4,1,0.67016236,,,,
2,5,1,0.67380296,,,,
2,6,1,0.66995717,,,,
2,7,1,0.67335702,,,,
3,0,1,0.65990210,,,,
3,1,1,0.65887225,,,,
3,2,1,0.66274383,,,,
3,3,1,0.66003349,,,,
3,4,1,0.65114834,,,,
3,5,1,0.66239642,,,,
3,6,1,0.66057629,,,,
3,7,1,0.65550450,,,,
4,0,1,0.76192009,,,,
4,1,1,0.75896659,,,,
4,2,1,0.75338848,,,,
4,3,1,0.76018531,,,,
4,4,1,0.75484283,,,,
4,5,1,0.75302152,,,,
4,6,1,0.75461299,,,,
4,7,1,0.75698113,,,,
5,0,1,0.74545430,,,,
5,1,1,0.75259165,,,,
5,2,1,0.74390629,,,,
5,3,1,0.73321121,,,,
5,4,1,0.74743009,,,,
5,5,1,0.74762512,,,,
5,6,1,0.74830632,,,,
5,7,1,0.74651436,,,,
6,0,1,0.73599782,,,,
6,1,1,0.73573266,,,,
6,2,1,0.73529390,,,,
6,3,1,0.73672070,,,,
6,4,1,0.73634302,,,,
6,5,1,0.73675191,,,,
6,6,1,0.73319511,,,,
6,7,1,0.73758513,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
