k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.76732128,,,,
0,1,1,0.76896203,,,,
0,2,1,0.77661346,,,,
0,3,1,0.77335270,,,,
0,4,1,0.76987571,,,,
0,5,1,0.77004889,,,,
0,6,1,0.76847937,,,,
0,7,1,0.77028598,,,,
1,0,1,0.78979872,,,,
1,1,1,0.79577204,,,,
1,2,1,0.78991455,,,,
1,3,1,0.79115639,,,,
1,4,1,0.79858181,,,,
1,5,1,0.79258445,,,,
1,6,1,0.79019554,,,,
1,7,1,0.79657784,,,,
2,0,1,0.75412336,,,,
2,1,1,0.74952807,,,,
2,2,1,0.75607548,,,,
2,3,1,0.75642941,,,,
2,4,1,0.79225503,,,,
2,5,1,0.75869263,,,,
2,6,1,0.75123300,,,,
2,7,1,0.75043524,,,,
3,0,1,0.69513369,,,,
3,1,1,0.68181331,,,,
3,2,1,0.70195453,,,,
3,3,1,0.69073830,,,,
3,4,1,0.70077787,,,,
3,5,1,0.69590749,,,,
3,6,1,0.69490930,,,,
3,7,1,0.69482178,,,,
4,0,1,0.55712425,,,,
4,1,1,0.57028702,,,,
4,2,1,0.55638584,,,,
4,3,1,0.55636447,,,,
4,4,1,0.56407537,,,,
4,5,1,0.56044218,,,,
4,6,1,0.56055364,,,,
4,7,1,0.54960363,,,,
5,0,1,0.69531793,,,,
5,1,1,0.69561914,,,,
5,2,1,0.69631359,,,,
5,3,1,0.69796721,,,,
5,4,1,0.68670026,,,,
5,5,1,0.68845515,,,,
5,6,1,0.68955541,,,,
5,7,1,0.69494968,,,,
6,0,1,0.68681305,,,,
6,1,1,0.68585710,,,,
6,2,1,0.68034767,,,,
6,3,1,0.68040312,,,,
6,4,1,0.67884942,,,,
6,5,1,0.67965080,,,,
6,6,1,0.68774377,,,,
6,7,1,0.68723024,,,,
7,0,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,1,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,2,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,3,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,4,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,5,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,6,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,7,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
