k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.76296468,,,,
0,1,1,0.76091180,,,,
0,2,1,0.75937807,,,,
0,3,1,0.76407109,,,,
0,4,1,0.76507417,,,,
0,5,1,0.75841342,,,,
0,6,1,0.76141424,,,,
0,7,1,0.76010850,,,,
1,0,1,0.77707496,,,,
1,1,1,0.77129577,,,,
1,2,1,0.78608949,,,,
1,3,1,0.77434949,,,,
1,4,1,0.77379067,,,,
1,5,1,0.77140402,,,,
1,6,1,0.77758252,,,,
1,7,1,0.77950971,,,,
2,0,1,0.67139041,,,,
2,1,1,0.66627556,,,,
2,2,1,0.67676271,,,,
2,3,1,0.67050089,,,,
2,4,1,0.66912475,,,,
2,5,1,0.67521861,,,,
2,6,1,0.66841449,,,,
2,7,1,0.66843894,,,,
3,0,1,0.78157387,,,,
3,1,1,0.77666338,,,,
3,2,1,0.79265487,,,,
3,3,1,0.77787042,,,,
3,4,1,0.78413082,,,,
3,5,1,0.78396087,,,,
3,6,1,0.78019343,,,,
3,7,1,0.78433831,,,,
4,0,1,0.46976924,,,,
4,1,1,0.47398232,,,,
4,2,1,0.47552254,,,,
4,3,1,0.47022216,,,,
4,4,1,0.47426353,,,,
4,5,1,0.46915900,,,,
4,6,1,0.46909834,,,,
4,7,1,0.46947645,,,,
5,0,1,0.77637867,,,,
5,1,1,0.77920730,,,,
5,2,1,0.77781584,,,,
5,3,1,0.77605929,,,,
5,4,1,0.76922386,,,,
5,5,1,0.78272893,,,,
5,6,1,0.77450050,,,,
5,7,1,0.77759571,,,,
6,0,1,0.55338333,,,,
6,1,1,0.56213477,,,,
6,2,1,0.56368939,,,,
6,3,1,0.57513798,,,,
6,4,1,0.55719037,,,,
6,5,1,0.55926302,,,,
6,6,1,0.55614622,,,,
6,7,1,0.55634620,,,,
7,0,1,0.75662900,,,,
7,1,1,0.75882100,,,,
7,2,1,0.75679105,,,,
7,3,1,0.76474390,,,,
7,4,1,0.76175975,,,,
7,5,1,0.75769106,,,,
7,6,1,0.75853701,,,,
7,7,1,0.75198607,,,,
