k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
0,1,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
0,2,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
0,3,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
0,4,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
0,5,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
0,6,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
0,7,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Mechanism',
1,0,1,0.57368902,,,,
1,1,1,0.58241326,,,,
1,2,1,0.57126385,,,,
1,3,1,0.56863028,,,,
1,4,1,0.56927340,,,,
1,5,1,0.57955215,,,,
1,6,1,0.56906033,,,,
1,7,1,0.57739684,,,,
2,0,1,0.71649776,,,,
2,1,1,0.71137500,,,,
2,2,1,0.71513656,,,,
2,3,1,0.71008962,,,,
2,4,1,0.71260798,,,,
2,5,1,0.71910263,,,,
2,6,1,0.70860040,,,,
2,7,1,0.71883317,,,,
3,0,1,0.60785235,,,,
3,1,1,0.60038350,,,,
3,2,1,0.61713302,,,,
3,3,1,0.61271937,,,,
3,4,1,0.61226467,,,,
3,5,1,0.61625166,,,,
3,6,1,0.61447712,,,,
3,7,1,0.60419344,,,,
4,0,1,0.64513460,,,,
4,1,1,0.64841940,,,,
4,2,1,0.64762909,,,,
4,3,1,0.64835484,,,,
4,4,1,0.64414528,,,,
4,5,1,0.64447262,,,,
4,6,1,0.64249266,,,,
4,7,1,0.64701245,,,,
5,0,1,0.76924097,,,,
5,1,1,0.76929485,,,,
5,2,1,0.78136940,,,,
5,3,1,0.78160741,,,,
5,4,1,0.77383859,,,,
5,5,1,0.77619517,,,,
5,6,1,0.77231227,,,,
5,7,1,0.77480737,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
