k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.66273123,,,,
0,1,1,0.66582725,,,,
0,2,1,0.66599600,,,,
0,3,1,0.65304871,,,,
0,4,1,0.66592844,,,,
0,5,1,0.67160231,,,,
0,6,1,0.66986939,,,,
0,7,1,0.66095067,,,,
1,0,1,0.70296473,,,,
1,1,1,0.71073211,,,,
1,2,1,0.70596539,,,,
1,3,1,0.70488348,,,,
1,4,1,0.71128159,,,,
1,5,1,0.70941561,,,,
1,6,1,0.71963700,,,,
1,7,1,0.71137889,,,,
2,0,1,0.81801404,,,,
2,1,1,0.81355104,,,,
2,2,1,0.81771096,,,,
2,3,1,0.81264943,,,,
2,4,1,0.83065486,,,,
2,5,1,0.81865842,,,,
2,6,1,0.80730915,,,,
2,7,1,0.81196339,,,,
3,0,1,0.64319093,,,,
3,1,1,0.63962318,,,,
3,2,1,0.62836547,,,,
3,3,1,0.63183408,,,,
3,4,1,0.62856687,,,,
3,5,1,0.63840522,,,,
3,6,1,0.63907157,,,,
3,7,1,0.64152337,,,,
4,0,1,0.67275078,,,,
4,1,1,0.67642888,,,,
4,2,1,0.67640499,,,,
4,3,1,0.67720440,,,,
4,4,1,0.68137438,,,,
4,5,1,0.68123025,,,,
4,6,1,0.68100588,,,,
4,7,1,0.68100823,,,,
5,0,1,0.76283334,,,,
5,1,1,0.74800426,,,,
5,2,1,0.76385963,,,,
5,3,1,0.76955435,,,,
5,4,1,0.74274240,,,,
5,5,1,0.76835687,,,,
5,6,1,0.76491830,,,,
5,7,1,0.76416717,,,,
6,0,1,0.72200474,,,,
6,1,1,0.73117012,,,,
6,2,1,0.71904753,,,,
6,3,1,0.71776503,,,,
6,4,1,0.72296180,,,,
6,5,1,0.72381531,,,,
6,6,1,0.72911127,,,,
6,7,1,0.72374554,,,,
7,0,1,0.64956861,,,,
7,1,1,0.66419881,,,,
7,2,1,0.65258939,,,,
7,3,1,0.64994093,,,,
7,4,1,0.66079892,,,,
7,5,1,0.65472487,,,,
7,6,1,0.65122100,,,,
7,7,1,0.65959565,,,,
