k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.60921007,,,,
0,1,1,0.60817935,,,,
0,2,1,0.59857511,,,,
0,3,1,0.60859694,,,,
0,4,1,0.61860490,,,,
0,5,1,0.61302411,,,,
0,6,1,0.61511770,,,,
0,7,1,0.61489727,,,,
1,0,1,0.41087274,,,,
1,1,1,0.41096147,,,,
1,2,1,0.41688634,,,,
1,3,1,0.41447686,,,,
1,4,1,0.41043281,,,,
1,5,1,0.41723782,,,,
1,6,1,0.41401425,,,,
1,7,1,0.40885001,,,,
2,0,1,0.75604559,,,,
2,1,1,0.70919830,,,,
2,2,1,0.75601061,,,,
2,3,1,0.71246641,,,,
2,4,1,0.71143155,,,,
2,5,1,0.71226518,,,,
2,6,1,0.76242109,,,,
2,7,1,0.75422687,,,,
3,0,1,0.71942209,,,,
3,1,1,0.71602877,,,,
3,2,1,0.71111332,,,,
3,3,1,0.71834625,,,,
3,4,1,0.72465388,,,,
3,5,1,0.71988720,,,,
3,6,1,0.72139216,,,,
3,7,1,0.72480357,,,,
4,0,1,0.58496012,,,,
4,1,1,0.58529709,,,,
4,2,1,0.57451152,,,,
4,3,1,0.57830396,,,,
4,4,1,0.56684919,,,,
4,5,1,0.57506471,,,,
4,6,1,0.58197981,,,,
4,7,1,0.58239337,,,,
5,0,1,0.59917144,,,,
5,1,1,0.59930720,,,,
5,2,1,0.59918690,,,,
5,3,1,0.59964025,,,,
5,4,1,0.59927391,,,,
5,5,1,0.60057874,,,,
5,6,1,0.60375917,,,,
5,7,1,0.60818457,,,,
6,0,1,0.70604434,,,,
6,1,1,0.70885011,,,,
6,2,1,0.70247919,,,,
6,3,1,0.70315794,,,,
6,4,1,0.69473156,,,,
6,5,1,0.69886463,,,,
6,6,1,0.69146011,,,,
6,7,1,0.70683696,,,,
7,0,1,0.51941866,,,,
7,1,1,0.52775546,,,,
7,2,1,0.52230343,,,,
7,3,1,0.52396204,,,,
7,4,1,0.52891191,,,,
7,5,1,0.52253093,,,,
7,6,1,0.52730656,,,,
7,7,1,0.52347385,,,,
