k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.54486693,,,,
0,1,1,0.54664846,,,,
0,2,1,0.54920328,,,,
0,3,1,0.54746395,,,,
0,4,1,0.54529901,,,,
0,5,1,0.54175217,,,,
0,6,1,0.54813269,,,,
0,7,1,0.54496990,,,,
1,0,1,0.53283228,,,,
1,1,1,0.53554633,,,,
1,2,1,0.53306052,,,,
1,3,1,0.53186250,,,,
1,4,1,0.53559989,,,,
1,5,1,0.53213338,,,,
1,6,1,0.52819442,,,,
1,7,1,0.52664374,,,,
2,0,1,0.66966764,,,,
2,1,1,0.66887077,,,,
2,2,1,0.67026797,,,,
2,3,1,0.66522777,,,,
2,4,1,0.66726001,,,,
2,5,1,0.67533210,,,,
2,6,1,0.67482229,,,,
2,7,1,0.67123092,,,,
3,0,1,0.50453016,,,,
3,1,1,0.50475636,,,,
3,2,1,0.50504969,,,,
3,3,1,0.50195887,,,,
3,4,1,0.49781305,,,,
3,5,1,0.50651426,,,,
3,6,1,0.51249315,,,,
3,7,1,0.50629897,,,,
4,0,1,0.55270388,,,,
4,1,1,0.54686830,,,,
4,2,1,0.54418308,,,,
4,3,1,0.54333030,,,,
4,4,1,0.54926455,,,,
4,5,1,0.54230836,,,,
4,6,1,0.54846110,,,,
4,7,1,0.54997638,,,,
5,0,1,0.60950182,,,,
5,1,1,0.60327064,,,,
5,2,1,0.59178593,,,,
5,3,1,0.60535052,,,,
5,4,1,0.59937334,,,,
5,5,1,0.60834901,,,,
5,6,1,0.59762097,,,,
5,7,1,0.59738835,,,,
6,0,1,0.77274110,,,,
6,1,1,0.77137910,,,,
6,2,1,0.76868154,,,,
6,3,1,0.77001385,,,,
6,4,1,0.76695700,,,,
6,5,1,0.77117210,,,,
6,6,1,0.77130579,,,,
6,7,1,0.76635119,,,,
7,0,1,0.57538842,,,,
7,1,1,0.58419712,,,,
7,2,1,0.58405960,,,,
7,3,1,0.58265819,,,,
7,4,1,0.58293365,,,,
7,5,1,0.57935274,,,,
7,6,1,0.57835012,,,,
7,7,1,0.58260510,,,,
