k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.58093980,,,,
0,1,1,0.58924892,,,,
0,2,1,0.58135246,,,,
0,3,1,0.59049965,,,,
0,4,1,0.58013228,,,,
0,5,1,0.58770305,,,,
0,6,1,0.58766312,,,,
0,7,1,0.59476564,,,,
1,0,1,0.74815764,,,,
1,1,1,0.74122566,,,,
1,2,1,0.74491976,,,,
1,3,1,0.74652774,,,,
1,4,1,0.74311969,,,,
1,5,1,0.74314300,,,,
1,6,1,0.74635557,,,,
1,7,1,0.74116453,,,,
2,0,1,0.67983274,,,,
2,1,1,0.68359335,,,,
2,2,1,0.68689733,,,,
2,3,1,0.68398645,,,,
2,4,1,0.69169006,,,,
2,5,1,0.68346054,,,,
2,6,1,0.68664245,,,,
2,7,1,0.68298675,,,,
3,0,1,0.44009351,,,,
3,1,1,0.43782338,,,,
3,2,1,0.43642534,,,,
3,3,1,0.44074196,,,,
3,4,1,0.45103498,,,,
3,5,1,0.44372111,,,,
3,6,1,0.43200213,,,,
3,7,1,0.44357784,,,,
4,0,1,0.66342519,,,,
4,1,1,0.66611209,,,,
4,2,1,0.65952921,,,,
4,3,1,0.66356953,,,,
4,4,1,0.66282470,,,,
4,5,1,0.67360161,,,,
4,6,1,0.66669971,,,,
4,7,1,0.66529001,,,,
5,0,1,0.71921972,,,,
5,1,1,0.71037422,,,,
5,2,1,0.71447325,,,,
5,3,1,0.71402627,,,,
5,4,1,0.71205612,,,,
5,5,1,0.71098529,,,,
5,6,1,0.71443981,,,,
5,7,1,0.71567715,,,,
6,0,1,0.67535669,,,,
6,1,1,0.67357428,,,,
6,2,1,0.68119375,,,,
6,3,1,0.67714725,,,,
6,4,1,0.67836211,,,,
6,5,1,0.67804697,,,,
6,6,1,0.68166936,,,,
6,7,1,0.67891296,,,,
7,0,1,0.11804632,,,,
7,1,1,0.12150445,,,,
7,2,1,0.12631575,,,,
7,3,1,0.11985056,,,,
7,4,1,0.12233139,,,,
7,5,1,0.12240657,,,,
7,6,1,0.11222765,,,,
7,7,1,0.11338537,,,,
