k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.35536431,,,,
0,1,1,0.35238232,,,,
0,2,1,0.35553431,,,,
0,3,1,0.35538739,,,,
0,4,1,0.34884856,,,,
0,5,1,0.35385102,,,,
0,6,1,0.35396327,,,,
0,7,1,0.34935816,,,,
1,0,1,0.60063290,,,,
1,1,1,0.60562071,,,,
1,2,1,0.60606849,,,,
1,3,1,0.60542974,,,,
1,4,1,0.60650529,,,,
1,5,1,0.60572628,,,,
1,6,1,0.60695037,,,,
1,7,1,0.60457364,,,,
2,0,1,0.65776471,,,,
2,1,1,0.65780991,,,,
2,2,1,0.66029828,,,,
2,3,1,0.65480684,,,,
2,4,1,0.66045042,,,,
2,5,1,0.65530136,,,,
2,6,1,0.65173629,,,,
2,7,1,0.65810013,,,,
3,0,1,0.77173097,,,,
3,1,1,0.77222159,,,,
3,2,1,0.76757949,,,,
3,3,1,0.77785837,,,,
3,4,1,0.77198547,,,,
3,5,1,0.76930498,,,,
3,6,1,0.77265188,,,,
3,7,1,0.76661820,,,,
4,0,1,0.68373773,,,,
4,1,1,0.68557324,,,,
4,2,1,0.68759130,,,,
4,3,1,0.68713843,,,,
4,4,1,0.68641530,,,,
4,5,1,0.68083661,,,,
4,6,1,0.68213847,,,,
4,7,1,0.67933775,,,,
5,0,1,0.70841893,,,,
5,1,1,0.71436363,,,,
5,2,1,0.70840982,,,,
5,3,1,0.71509500,,,,
5,4,1,0.71273564,,,,
5,5,1,0.71417595,,,,
5,6,1,0.71273292,,,,
5,7,1,0.71700680,,,,
6,0,1,0.72409008,,,,
6,1,1,0.71775711,,,,
6,2,1,0.72003281,,,,
6,3,1,0.72232885,,,,
6,4,1,0.72001502,,,,
6,5,1,0.72247682,,,,
6,6,1,0.71695180,,,,
6,7,1,0.72147935,,,,
7,0,1,0.67860558,,,,
7,1,1,0.67926932,,,,
7,2,1,0.68303384,,,,
7,3,1,0.67801265,,,,
7,4,1,0.67543368,,,,
7,5,1,0.67923134,,,,
7,6,1,0.67319751,,,,
7,7,1,0.68392057,,,,
