k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.64830259,,,,
0,1,1,0.65128079,,,,
0,2,1,0.64204884,,,,
0,3,1,0.63394713,,,,
0,4,1,0.65157281,,,,
0,5,1,0.64716864,,,,
0,6,1,0.65273822,,,,
0,7,1,0.64461155,,,,
1,0,1,0.67712169,,,,
1,1,1,0.67760541,,,,
1,2,1,0.69668869,,,,
1,3,1,0.68965096,,,,
1,4,1,0.68226691,,,,
1,5,1,0.70378454,,,,
1,6,1,0.68846890,,,,
1,7,1,0.68714325,,,,
2,0,1,0.68489747,,,,
2,1,1,0.68895360,,,,
2,2,1,0.68611606,,,,
2,3,1,0.67204512,,,,
2,4,1,0.67818274,,,,
2,5,1,0.68682908,,,,
2,6,1,0.68599025,,,,
2,7,1,0.67625212,,,,
3,0,1,0.73894074,,,,
3,1,1,0.74224174,,,,
3,2,1,0.74663080,,,,
3,3,1,0.74973925,,,,
3,4,1,0.75434433,,,,
3,5,1,0.75319482,,,,
3,6,1,0.75243940,,,,
3,7,1,0.74231874,,,,
4,0,1,0.31227839,,,,
4,1,1,0.31015841,,,,
4,2,1,0.29426419,,,,
4,3,1,0.29234719,,,,
4,4,1,0.29812076,,,,
4,5,1,0.29564557,,,,
4,6,1,0.30799896,,,,
4,7,1,0.29846469,,,,
5,0,1,0.72480156,,,,
5,1,1,0.73848710,,,,
5,2,1,0.73394368,,,,
5,3,1,0.72417796,,,,
5,4,1,0.73262302,,,,
5,5,1,0.72999916,,,,
5,6,1,0.73254072,,,,
5,7,1,0.72981414,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.70106074,,,,
7,1,1,0.70078927,,,,
7,2,1,0.68766109,,,,
7,3,1,0.69971818,,,,
7,4,1,0.70757317,,,,
7,5,1,0.69089028,,,,
7,6,1,0.70272317,,,,
7,7,1,0.70604043,,,,
