k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.78773538,,,,
0,1,1,0.79616150,,,,
0,2,1,0.79290429,,,,
0,3,1,0.79543786,,,,
0,4,1,0.79505523,,,,
0,5,1,0.79876136,,,,
0,6,1,0.79865787,,,,
0,7,1,0.79598934,,,,
1,0,1,0.65699205,,,,
1,1,1,0.65099495,,,,
1,2,1,0.65003249,,,,
1,3,1,0.65427807,,,,
1,4,1,0.65468132,,,,
1,5,1,0.65285615,,,,
1,6,1,0.64894990,,,,
1,7,1,0.65371991,,,,
2,0,1,0.72309301,,,,
2,1,1,0.71791387,,,,
2,2,1,0.72116547,,,,
2,3,1,0.72020554,,,,
2,4,1,0.72446667,,,,
2,5,1,0.72140142,,,,
2,6,1,0.72440165,,,,
2,7,1,0.72473912,,,,
3,0,1,0.64970979,,,,
3,1,1,0.64885063,,,,
3,2,1,0.64108864,,,,
3,3,1,0.64686651,,,,
3,4,1,0.64873787,,,,
3,5,1,0.64669736,,,,
3,6,1,0.64942251,,,,
3,7,1,0.64986149,,,,
4,0,1,0.68911897,,,,
4,1,1,0.69116603,,,,
4,2,1,0.68390489,,,,
4,3,1,0.68673774,,,,
4,4,1,0.68797456,,,,
4,5,1,0.68385146,,,,
4,6,1,0.68936260,,,,
4,7,1,0.68985167,,,,
5,0,1,0.76639789,,,,
5,1,1,0.76109324,,,,
5,2,1,0.77397414,,,,
5,3,1,0.76720346,,,,
5,4,1,0.76561764,,,,
5,5,1,0.76757592,,,,
5,6,1,0.76860299,,,,
5,7,1,0.76870848,,,,
6,0,1,0.34155951,,,,
6,1,1,0.33210751,,,,
6,2,1,0.33411835,,,,
6,3,1,0.33609840,,,,
6,4,1,0.33845379,,,,
6,5,1,0.34104737,,,,
6,6,1,0.33620338,,,,
6,7,1,0.34005185,,,,
7,0,1,0.75028414,,,,
7,1,1,0.74435857,,,,
7,2,1,0.74287036,,,,
7,3,1,0.74748178,,,,
7,4,1,0.74293378,,,,
7,5,1,0.74323025,,,,
7,6,1,0.74263222,,,,
7,7,1,0.74628793,,,,
