k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.55407977,,,,
0,1,1,0.55323075,,,,
0,2,1,0.55234537,,,,
0,3,1,0.55169473,,,,
0,4,1,0.55651138,,,,
0,5,1,0.54938074,,,,
0,6,1,0.54848672,,,,
0,7,1,0.55088490,,,,
1,0,1,0.68818489,,,,
1,1,1,0.68629175,,,,
1,2,1,0.68818489,,,,
1,3,1,0.69009813,,,,
1,4,1,0.68723842,,,,
1,5,1,0.68712678,,,,
1,6,1,0.68601322,,,,
1,7,1,0.69324804,,,,
2,0,1,0.70042541,,,,
2,1,1,0.70092265,,,,
2,2,1,0.70058073,,,,
2,3,1,0.70141792,,,,
2,4,1,0.70204477,,,,
2,5,1,0.70023465,,,,
2,6,1,0.69833421,,,,
2,7,1,0.70134775,,,,
3,0,1,0.70780977,,,,
3,1,1,0.71502463,,,,
3,2,1,0.71227113,,,,
3,3,1,0.70728806,,,,
3,4,1,0.70824979,,,,
3,5,1,0.71248130,,,,
3,6,1,0.71385566,,,,
3,7,1,0.70613710,,,,
4,0,1,0.73330054,,,,
4,1,1,0.73423583,,,,
4,2,1,0.73074536,,,,
4,3,1,0.72942749,,,,
4,4,1,0.73468989,,,,
4,5,1,0.72368730,,,,
4,6,1,0.73610817,,,,
4,7,1,0.73461694,,,,
5,0,1,0.75088263,,,,
5,1,1,0.76070042,,,,
5,2,1,0.74979576,,,,
5,3,1,0.75170267,,,,
5,4,1,0.75508493,,,,
5,5,1,0.76107458,,,,
5,6,1,0.74683761,,,,
5,7,1,0.74954663,,,,
6,0,1,0.72333675,,,,
6,1,1,0.72394412,,,,
6,2,1,0.72627558,,,,
6,3,1,0.72663833,,,,
6,4,1,0.72518455,,,,
6,5,1,0.72460418,,,,
6,6,1,0.72333401,,,,
6,7,1,0.72591257,,,,
7,0,1,0.61295384,,,,
7,1,1,0.60413521,,,,
7,2,1,0.60316633,,,,
7,3,1,0.60774586,,,,
7,4,1,0.60759511,,,,
7,5,1,0.60705401,,,,
7,6,1,0.60711587,,,,
7,7,1,0.60822995,,,,
