k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.11803501,,,,
0,1,1,0.11829061,,,,
0,2,1,0.11908748,,,,
0,3,1,0.11232158,,,,
0,4,1,0.11172017,,,,
0,5,1,0.11190059,,,,
0,6,1,0.11645630,,,,
0,7,1,0.11916266,,,,
1,0,1,0.71685811,,,,
1,1,1,0.71641561,,,,
1,2,1,0.72389410,,,,
1,3,1,0.72173449,,,,
1,4,1,0.71775709,,,,
1,5,1,0.71053925,,,,
1,6,1,0.71649968,,,,
1,7,1,0.71453951,,,,
2,0,1,0.60535788,,,,
2,1,1,0.59833017,,,,
2,2,1,0.60065297,,,,
2,3,1,0.60958043,,,,
2,4,1,0.60406869,,,,
2,5,1,0.59742424,,,,
2,6,1,0.60304052,,,,
2,7,1,0.60463351,,,,
3,0,1,0.58635799,,,,
3,1,1,0.57885707,,,,
3,2,1,0.57946491,,,,
3,3,1,0.57836685,,,,
3,4,1,0.58770467,,,,
3,5,1,0.58135307,,,,
3,6,1,0.58495238,,,,
3,7,1,0.58808851,,,,
4,0,1,0.54108500,,,,
4,1,1,0.53646903,,,,
4,2,1,0.54500360,,,,
4,3,1,0.54842625,,,,
4,4,1,0.54661729,,,,
4,5,1,0.54064891,,,,
4,6,1,0.53695087,,,,
4,7,1,0.53659494,,,,
5,0,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
5,1,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
5,2,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
5,3,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
5,4,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
5,5,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
5,6,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
5,7,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Recommendation'; Node 9: unknown role 'Recommendation'; Node 10: unknown role 'Recommendation',
6,0,1,0.11952144,,,,
6,1,1,0.12639259,,,,
6,2,1,0.11696544,,,,
6,3,1,0.11147754,,,,
6,4,1,0.12165646,,,,
6,5,1,0.11516120,,,,
6,6,1,0.10914707,,,,
6,7,1,0.11516120,,,,
7,0,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
7,1,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
7,2,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
7,3,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
7,4,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
7,5,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
7,6,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
7,7,0,,dag_validation_failed,dag_validation_failed,Node 10: unknown role 'Recommendation'; Node 11: unknown role 'Recommendation',
