k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.70902282,,,,
0,1,1,0.70669890,,,,
0,2,1,0.70200509,,,,
0,3,1,0.70117912,,,,
0,4,1,0.69908038,,,,
0,5,1,0.70106281,,,,
0,6,1,0.70401493,,,,
0,7,1,0.70320520,,,,
1,0,1,0.51578670,,,,
1,1,1,0.50430596,,,,
1,2,1,0.51668565,,,,
1,3,1,0.51711169,,,,
1,4,1,0.51008238,,,,
1,5,1,0.51172954,,,,
1,6,1,0.50530490,,,,
1,7,1,0.50959824,,,,
2,0,1,0.74688381,,,,
2,1,1,0.74117011,,,,
2,2,1,0.74699325,,,,
2,3,1,0.74469868,,,,
2,4,1,0.73453440,,,,
2,5,1,0.74045402,,,,
2,6,1,0.73811530,,,,
2,7,1,0.74167061,,,,
3,0,1,0.53617716,,,,
3,1,1,0.52608802,,,,
3,2,1,0.52882869,,,,
3,3,1,0.52143433,,,,
3,4,1,0.53115657,,,,
3,5,1,0.51047572,,,,
3,6,1,0.51902536,,,,
3,7,1,0.52159604,,,,
4,0,1,0.74345627,,,,
4,1,1,0.74286026,,,,
4,2,1,0.73910878,,,,
4,3,1,0.74564741,,,,
4,4,1,0.74669957,,,,
4,5,1,0.74127815,,,,
4,6,1,0.74805746,,,,
4,7,1,0.74634029,,,,
5,0,1,0.68182655,,,,
5,1,1,0.67836106,,,,
5,2,1,0.67761020,,,,
5,3,1,0.67951781,,,,
5,4,1,0.66997626,,,,
5,5,1,0.68098111,,,,
5,6,1,0.68111882,,,,
5,7,1,0.67807699,,,,
6,0,1,0.79276736,,,,
6,1,1,0.79808094,,,,
6,2,1,0.79308269,,,,
6,3,1,0.79718701,,,,
6,4,1,0.80032795,,,,
6,5,1,0.79772087,,,,
6,6,1,0.79699143,,,,
6,7,1,0.80213335,,,,
7,0,1,0.50944864,,,,
7,1,1,0.50693356,,,,
7,2,1,0.50211805,,,,
7,3,1,0.50535138,,,,
7,4,1,0.50775551,,,,
7,5,1,0.51003321,,,,
7,6,1,0.50481567,,,,
7,7,1,0.50186792,,,,
