k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.66968921,,,,
0,1,1,0.67669114,,,,
0,2,1,0.67282483,,,,
0,3,1,0.65901660,,,,
0,4,1,0.67345414,,,,
0,5,1,0.67116967,,,,
0,6,1,0.67030793,,,,
0,7,1,0.67329628,,,,
1,0,1,0.60127926,,,,
1,1,1,0.59657595,,,,
1,2,1,0.60509891,,,,
1,3,1,0.59610211,,,,
1,4,1,0.60169095,,,,
1,5,1,0.59447140,,,,
1,6,1,0.59312791,,,,
1,7,1,0.59173679,,,,
2,0,1,0.69210126,,,,
2,1,1,0.69533411,,,,
2,2,1,0.68171102,,,,
2,3,1,0.68833296,,,,
2,4,1,0.68819084,,,,
2,5,1,0.69234539,,,,
2,6,1,0.68591708,,,,
2,7,1,0.69034123,,,,
3,0,1,0.48203792,,,,
3,1,1,0.48970806,,,,
3,2,1,0.47956200,,,,
3,3,1,0.48769709,,,,
3,4,1,0.48195136,,,,
3,5,1,0.47300543,,,,
3,6,1,0.48459794,,,,
3,7,1,0.48384164,,,,
4,0,1,0.70134315,,,,
4,1,1,0.70195739,,,,
4,2,1,0.68928701,,,,
4,3,1,0.69461845,,,,
4,4,1,0.68971999,,,,
4,5,1,0.69064288,,,,
4,6,1,0.69568492,,,,
4,7,1,0.69843196,,,,
5,0,1,0.71564732,,,,
5,1,1,0.70437526,,,,
5,2,1,0.70680777,,,,
5,3,1,0.71124467,,,,
5,4,1,0.71611713,,,,
5,5,1,0.71023894,,,,
5,6,1,0.71419608,,,,
5,7,1,0.70023226,,,,
6,0,1,0.68228452,,,,
6,1,1,0.67665947,,,,
6,2,1,0.67652547,,,,
6,3,1,0.68592375,,,,
6,4,1,0.68654020,,,,
6,5,1,0.68261420,,,,
6,6,1,0.68084070,,,,
6,7,1,0.67600930,,,,
7,0,1,0.64174610,,,,
7,1,1,0.65397911,,,,
7,2,1,0.64738217,,,,
7,3,1,0.64511352,,,,
7,4,1,0.65300685,,,,
7,5,1,0.65097645,,,,
7,6,1,0.65355851,,,,
7,7,1,0.65298663,,,,
