k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.73415103,,,,
0,1,1,0.73149461,,,,
0,2,1,0.72934423,,,,
0,3,1,0.73738785,,,,
0,4,1,0.72908600,,,,
0,5,1,0.73605562,,,,
0,6,1,0.72666302,,,,
0,7,1,0.73192061,,,,
1,0,1,0.34433610,,,,
1,1,1,0.34289575,,,,
1,2,1,0.34630362,,,,
1,3,1,0.34676800,,,,
1,4,1,0.34547033,,,,
1,5,1,0.34436802,,,,
1,6,1,0.35326896,,,,
1,7,1,0.35118579,,,,
2,0,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
2,1,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
2,2,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
2,3,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
2,4,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
2,5,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
2,6,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
2,7,0,,dag_validation_failed,dag_validation_failed,Node 15: unknown role 'Recommendation',
3,0,1,0.54269369,,,,
3,1,1,0.55314517,,,,
3,2,1,0.54336940,,,,
3,3,1,0.54892840,,,,
3,4,1,0.54657495,,,,
3,5,1,0.54699733,,,,
3,6,1,0.54753054,,,,
3,7,1,0.55129268,,,,
4,0,1,0.10286558,,,,
4,1,1,0.09760322,,,,
4,2,1,0.10707547,,,,
4,3,1,0.09677628,,,,
4,4,1,0.10497053,,,,
4,5,1,0.10700030,,,,
4,6,1,0.11020282,,,,
4,7,1,0.10497053,,,,
5,0,1,0.42136530,,,,
5,1,1,0.42839229,,,,
5,2,1,0.42661646,,,,
5,3,1,0.42364828,,,,
5,4,1,0.43321331,,,,
5,5,1,0.42327140,,,,
5,6,1,0.42819048,,,,
5,7,1,0.42990026,,,,
6,0,1,0.73093601,,,,
6,1,1,0.72377423,,,,
6,2,1,0.73677772,,,,
6,3,1,0.72526934,,,,
6,4,1,0.73591907,,,,
6,5,1,0.73021020,,,,
6,6,1,0.72860133,,,,
6,7,1,0.73784246,,,,
7,0,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,1,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,2,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,3,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,4,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,5,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,6,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
7,7,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
