k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.44041708,,,,
0,1,1,0.44116751,,,,
0,2,1,0.43812822,,,,
0,3,1,0.42745690,,,,
0,4,1,0.43320818,,,,
0,5,1,0.43123077,,,,
0,6,1,0.43528896,,,,
0,7,1,0.43574136,,,,
1,0,1,0.69759347,,,,
1,1,1,0.69409271,,,,
1,2,1,0.69898691,,,,
1,3,1,0.69817856,,,,
1,4,1,0.69906337,,,,
1,5,1,0.69462340,,,,
1,6,1,0.69475060,,,,
1,7,1,0.69568873,,,,
2,0,1,0.71625807,,,,
2,1,1,0.71462612,,,,
2,2,1,0.71799754,,,,
2,3,1,0.71498173,,,,
2,4,1,0.71271852,,,,
2,5,1,0.70897000,,,,
2,6,1,0.71393833,,,,
2,7,1,0.70774789,,,,
3,0,1,0.64145436,,,,
3,1,1,0.63012672,,,,
3,2,1,0.63119910,,,,
3,3,1,0.63264163,,,,
3,4,1,0.64382001,,,,
3,5,1,0.63503694,,,,
3,6,1,0.63919475,,,,
3,7,1,0.63788908,,,,
4,0,1,0.67810148,,,,
4,1,1,0.68515673,,,,
4,2,1,0.67573307,,,,
4,3,1,0.68639389,,,,
4,4,1,0.68258227,,,,
4,5,1,0.67789926,,,,
4,6,1,0.69957302,,,,
4,7,1,0.68469215,,,,
5,0,1,0.75851964,,,,
5,1,1,0.75498843,,,,
5,2,1,0.75360810,,,,
5,3,1,0.74945605,,,,
5,4,1,0.75934074,,,,
5,5,1,0.75650052,,,,
5,6,1,0.75211898,,,,
5,7,1,0.75513753,,,,
6,0,1,0.51231889,,,,
6,1,1,0.50800300,,,,
6,2,1,0.51720359,,,,
6,3,1,0.50889142,,,,
6,4,1,0.51122248,,,,
6,5,1,0.52014249,,,,
6,6,1,0.51207315,,,,
6,7,1,0.51689626,,,,
7,0,1,0.64987054,,,,
7,1,1,0.65620625,,,,
7,2,1,0.64301173,,,,
7,3,1,0.63959407,,,,
7,4,1,0.64093709,,,,
7,5,1,0.64589508,,,,
7,6,1,0.65464829,,,,
7,7,1,0.63624895,,,,
