k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.68610476,,,,
0,1,1,0.68763387,,,,
0,2,1,0.68732031,,,,
0,3,1,0.68536943,,,,
0,4,1,0.68235562,,,,
0,5,1,0.68195569,,,,
0,6,1,0.68642078,,,,
0,7,1,0.68332809,,,,
1,0,1,0.60233766,,,,
1,1,1,0.59763832,,,,
1,2,1,0.60272059,,,,
1,3,1,0.59955098,,,,
1,4,1,0.59015319,,,,
1,5,1,0.58925529,,,,
1,6,1,0.60301699,,,,
1,7,1,0.60415514,,,,
2,0,1,0.75792911,,,,
2,1,1,0.76619403,,,,
2,2,1,0.75123953,,,,
2,3,1,0.76154613,,,,
2,4,1,0.75521883,,,,
2,5,1,0.75319872,,,,
2,6,1,0.75869145,,,,
2,7,1,0.75631585,,,,
3,0,1,0.66546565,,,,
3,1,1,0.66194494,,,,
3,2,1,0.65790279,,,,
3,3,1,0.66517694,,,,
3,4,1,0.66722339,,,,
3,5,1,0.66075203,,,,
3,6,1,0.66459592,,,,
3,7,1,0.66054635,,,,
4,0,1,0.71078641,,,,
4,1,1,0.72054326,,,,
4,2,1,0.71796326,,,,
4,3,1,0.71733244,,,,
4,4,1,0.72515739,,,,
4,5,1,0.71845212,,,,
4,6,1,0.71993537,,,,
4,7,1,0.71886771,,,,
5,0,1,0.56147128,,,,
5,1,1,0.56255268,,,,
5,2,1,0.56312522,,,,
5,3,1,0.55986714,,,,
5,4,1,0.55953171,,,,
5,5,1,0.56035838,,,,
5,6,1,0.56314600,,,,
5,7,1,0.56012698,,,,
6,0,1,0.67261946,,,,
6,1,1,0.66691214,,,,
6,2,1,0.67074097,,,,
6,3,1,0.67425191,,,,
6,4,1,0.66699417,,,,
6,5,1,0.66378932,,,,
6,6,1,0.66950294,,,,
6,7,1,0.67525399,,,,
7,0,1,0.69803824,,,,
7,1,1,0.69900123,,,,
7,2,1,0.70301629,,,,
7,3,1,0.69918766,,,,
7,4,1,0.69155554,,,,
7,5,1,0.69818578,,,,
7,6,1,0.69882934,,,,
7,7,1,0.68964940,,,,
