k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.75410260,,,,
0,1,1,0.75157537,,,,
0,2,1,0.75068712,,,,
0,3,1,0.75572765,,,,
0,4,1,0.75330657,,,,
0,5,1,0.73946304,,,,
0,6,1,0.75294765,,,,
0,7,1,0.74982709,,,,
1,0,1,0.83187753,,,,
1,1,1,0.82011163,,,,
1,2,1,0.83392253,,,,
1,3,1,0.82901567,,,,
1,4,1,0.82043410,,,,
1,5,1,0.82132353,,,,
1,6,1,0.81689106,,,,
1,7,1,0.83114818,,,,
2,0,1,0.75370715,,,,
2,1,1,0.74858371,,,,
2,2,1,0.74972344,,,,
2,3,1,0.75613470,,,,
2,4,1,0.75279653,,,,
2,5,1,0.75035728,,,,
2,6,1,0.74620226,,,,
2,7,1,0.74487653,,,,
3,0,1,0.70446605,,,,
3,1,1,0.70348776,,,,
3,2,1,0.70775062,,,,
3,3,1,0.70897122,,,,
3,4,1,0.70849335,,,,
3,5,1,0.70685815,,,,
3,6,1,0.70951036,,,,
3,7,1,0.70619090,,,,
4,0,1,0.76182036,,,,
4,1,1,0.76191627,,,,
4,2,1,0.76211622,,,,
4,3,1,0.76346181,,,,
4,4,1,0.75972713,,,,
4,5,1,0.76802607,,,,
4,6,1,0.76167092,,,,
4,7,1,0.76289920,,,,
5,0,1,0.64671682,,,,
5,1,1,0.65017095,,,,
5,2,1,0.64762861,,,,
5,3,1,0.65234597,,,,
5,4,1,0.64794765,,,,
5,5,1,0.65112728,,,,
5,6,1,0.64636426,,,,
5,7,1,0.64891211,,,,
6,0,1,0.65208892,,,,
6,1,1,0.65331083,,,,
6,2,1,0.64652384,,,,
6,3,1,0.64628927,,,,
6,4,1,0.64685154,,,,
6,5,1,0.64782687,,,,
6,6,1,0.64450749,,,,
6,7,1,0.64621363,,,,
7,0,1,0.72724025,,,,
7,1,1,0.72569774,,,,
7,2,1,0.73675373,,,,
7,3,1,0.72613892,,,,
7,4,1,0.73937034,,,,
7,5,1,0.73227914,,,,
7,6,1,0.72493620,,,,
7,7,1,0.73848955,,,,
