k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.80827315,,,,
0,1,1,0.81409898,,,,
0,2,1,0.81205964,,,,
0,3,1,0.81290359,,,,
0,4,1,0.80848916,,,,
0,5,1,0.81437304,,,,
0,6,1,0.80761366,,,,
0,7,1,0.80277533,,,,
1,0,1,0.64410241,,,,
1,1,1,0.64782888,,,,
1,2,1,0.64878026,,,,
1,3,1,0.64376698,,,,
1,4,1,0.64592067,,,,
1,5,1,0.63903568,,,,
1,6,1,0.64230555,,,,
1,7,1,0.65604045,,,,
2,0,1,0.78473148,,,,
2,1,1,0.78047543,,,,
2,2,1,0.78653541,,,,
2,3,1,0.78433989,,,,
2,4,1,0.78086926,,,,
2,5,1,0.78833324,,,,
2,6,1,0.78341553,,,,
2,7,1,0.78484061,,,,
3,0,1,0.68676078,,,,
3,1,1,0.68139628,,,,
3,2,1,0.68397287,,,,
3,3,1,0.68623239,,,,
3,4,1,0.68631306,,,,
3,5,1,0.68788537,,,,
3,6,1,0.68702596,,,,
3,7,1,0.68308570,,,,
4,0,1,0.69815261,,,,
4,1,1,0.69124370,,,,
4,2,1,0.68729330,,,,
4,3,1,0.69585747,,,,
4,4,1,0.69194064,,,,
4,5,1,0.68602765,,,,
4,6,1,0.69487521,,,,
4,7,1,0.70163237,,,,
5,0,1,0.46862816,,,,
5,1,1,0.46468452,,,,
5,2,1,0.47607378,,,,
5,3,1,0.46658273,,,,
5,4,1,0.46541122,,,,
5,5,1,0.46593245,,,,
5,6,1,0.46670677,,,,
5,7,1,0.46480480,,,,
6,0,1,0.63972354,,,,
6,1,1,0.64076761,,,,
6,2,1,0.64217151,,,,
6,3,1,0.65214384,,,,
6,4,1,0.65418026,,,,
6,5,1,0.64037135,,,,
6,6,1,0.65014053,,,,
6,7,1,0.63808375,,,,
7,0,1,0.65272306,,,,
7,1,1,0.65402425,,,,
7,2,1,0.65770468,,,,
7,3,1,0.65817202,,,,
7,4,1,0.65725052,,,,
7,5,1,0.65374677,,,,
7,6,1,0.65961582,,,,
7,7,1,0.64612186,,,,
