k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.62622712,,,,
0,1,1,0.63209225,,,,
0,2,1,0.62977395,,,,
0,3,1,0.62455949,,,,
0,4,1,0.62284954,,,,
0,5,1,0.63636943,,,,
0,6,1,0.62506937,,,,
0,7,1,0.63558582,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.51752288,,,,
2,1,1,0.50701841,,,,
2,2,1,0.51914767,,,,
2,3,1,0.52402642,,,,
2,4,1,0.51254318,,,,
2,5,1,0.51251013,,,,
2,6,1,0.51147530,,,,
2,7,1,0.50673334,,,,
3,0,1,0.30148463,,,,
3,1,1,0.29351778,,,,
3,2,1,0.30834637,,,,
3,3,1,0.29884593,,,,
3,4,1,0.28026790,,,,
3,5,1,0.29363055,,,,
3,6,1,0.29687254,,,,
3,7,1,0.28917633,,,,
4,0,1,0.30029539,,,,
4,1,1,0.29907434,,,,
4,2,1,0.29678134,,,,
4,3,1,0.28541617,,,,
4,4,1,0.29771757,,,,
4,5,1,0.29698122,,,,
4,6,1,0.29332855,,,,
4,7,1,0.28831979,,,,
5,0,1,0.44604734,,,,
5,1,1,0.44735756,,,,
5,2,1,0.45230714,,,,
5,3,1,0.44330232,,,,
5,4,1,0.44085210,,,,
5,5,1,0.44336649,,,,
5,6,1,0.44540029,,,,
5,7,1,0.45110485,,,,
6,0,1,0.48585990,,,,
6,1,1,0.48711180,,,,
6,2,1,0.48052070,,,,
6,3,1,0.47742702,,,,
6,4,1,0.48439038,,,,
6,5,1,0.47876591,,,,
6,6,1,0.48306889,,,,
6,7,1,0.47998124,,,,
7,0,1,0.64798473,,,,
7,1,1,0.65725519,,,,
7,2,1,0.65354024,,,,
7,3,1,0.64659173,,,,
7,4,1,0.65144935,,,,
7,5,1,0.65866335,,,,
7,6,1,0.64816829,,,,
7,7,1,0.65457858,,,,
