k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.60228843,,,,
0,1,1,0.59174016,,,,
0,2,1,0.58644393,,,,
0,3,1,0.59132150,,,,
0,4,1,0.59712426,,,,
0,5,1,0.60356429,,,,
0,6,1,0.59224960,,,,
0,7,1,0.59310264,,,,
1,0,1,0.52162683,,,,
1,1,1,0.52780017,,,,
1,2,1,0.52709593,,,,
1,3,1,0.52526215,,,,
1,4,1,0.52801818,,,,
1,5,1,0.52756471,,,,
1,6,1,0.52702343,,,,
1,7,1,0.52710532,,,,
2,0,1,0.66514596,,,,
2,1,1,0.67789155,,,,
2,2,1,0.67550556,,,,
2,3,1,0.68271999,,,,
2,4,1,0.67192785,,,,
2,5,1,0.68081251,,,,
2,6,1,0.68257208,,,,
2,7,1,0.66986047,,,,
3,0,1,0.55518606,,,,
3,1,1,0.55435724,,,,
3,2,1,0.55367513,,,,
3,3,1,0.55022865,,,,
3,4,1,0.55019216,,,,
3,5,1,0.55173107,,,,
3,6,1,0.55502378,,,,
3,7,1,0.55387240,,,,
4,0,1,0.75803496,,,,
4,1,1,0.76725431,,,,
4,2,1,0.76609675,,,,
4,3,1,0.76008172,,,,
4,4,1,0.75964603,,,,
4,5,1,0.76681706,,,,
4,6,1,0.76276250,,,,
4,7,1,0.76862281,,,,
5,0,1,0.73968365,,,,
5,1,1,0.74165927,,,,
5,2,1,0.74179577,,,,
5,3,1,0.73617001,,,,
5,4,1,0.73866649,,,,
5,5,1,0.73042587,,,,
5,6,1,0.73989577,,,,
5,7,1,0.73548958,,,,
6,0,1,0.73934708,,,,
6,1,1,0.73899502,,,,
6,2,1,0.74106854,,,,
6,3,1,0.74589503,,,,
6,4,1,0.74792874,,,,
6,5,1,0.74689655,,,,
6,6,1,0.73469283,,,,
6,7,1,0.74037837,,,,
7,0,1,0.79957481,,,,
7,1,1,0.80726642,,,,
7,2,1,0.79843847,,,,
7,3,1,0.80328650,,,,
7,4,1,0.79974133,,,,
7,5,1,0.79739999,,,,
7,6,1,0.79974797,,,,
7,7,1,0.79972460,,,,
