k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.68655733,,,,
0,1,1,0.69144390,,,,
0,2,1,0.68062359,,,,
0,3,1,0.68743903,,,,
0,4,1,0.68647370,,,,
0,5,1,0.68416330,,,,
0,6,1,0.68351532,,,,
0,7,1,0.68173714,,,,
1,0,1,0.66183912,,,,
1,1,1,0.66395456,,,,
1,2,1,0.66088926,,,,
1,3,1,0.66049460,,,,
1,4,1,0.65716797,,,,
1,5,1,0.66265151,,,,
1,6,1,0.65701390,,,,
1,7,1,0.66052157,,,,
2,0,1,0.55144770,,,,
2,1,1,0.55828090,,,,
2,2,1,0.55068097,,,,
2,3,1,0.54784973,,,,
2,4,1,0.54904008,,,,
2,5,1,0.55652750,,,,
2,6,1,0.55088313,,,,
2,7,1,0.54891910,,,,
3,0,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
3,1,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
3,2,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
3,3,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
3,4,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
3,5,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
3,6,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
3,7,0,,dag_validation_failed,dag_validation_failed,Node 11: unknown role 'Claim/Evidence',
4,0,1,0.60585725,,,,
4,1,1,0.61101421,,,,
4,2,1,0.61067424,,,,
4,3,1,0.60633703,,,,
4,4,1,0.61064332,,,,
4,5,1,0.60158094,,,,
4,6,1,0.61143653,,,,
4,7,1,0.60599930,,,,
5,0,1,0.76729296,,,,
5,1,1,0.76516463,,,,
5,2,1,0.76617334,,,,
5,3,1,0.77009238,,,,
5,4,1,0.76669333,,,,
5,5,1,0.76279852,,,,
5,6,1,0.76425330,,,,
5,7,1,0.76538127,,,,
6,0,1,0.48166659,,,,
6,1,1,0.48627980,,,,
6,2,1,0.48388661,,,,
6,3,1,0.48181657,,,,
6,4,1,0.48276491,,,,
6,5,1,0.48514667,,,,
6,6,1,0.48470578,,,,
6,7,1,0.48162083,,,,
7,0,1,0.76705205,,,,
7,1,1,0.76485447,,,,
7,2,1,0.76814294,,,,
7,3,1,0.76490908,,,,
7,4,1,0.77162849,,,,
7,5,1,0.76922537,,,,
7,6,1,0.76875584,,,,
7,7,1,0.77081262,,,,
