k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.76053125,,,,
0,1,1,0.75798131,,,,
0,2,1,0.75112750,,,,
0,3,1,0.75324104,,,,
0,4,1,0.75446616,,,,
0,5,1,0.75297094,,,,
0,6,1,0.76174585,,,,
0,7,1,0.75784668,,,,
1,0,1,0.76129550,,,,
1,1,1,0.76465286,,,,
1,2,1,0.76282358,,,,
1,3,1,0.76289729,,,,
1,4,1,0.76316564,,,,
1,5,1,0.77003058,,,,
1,6,1,0.75178703,,,,
1,7,1,0.76541265,,,,
2,0,1,0.60956953,,,,
2,1,1,0.61738451,,,,
2,2,1,0.61798431,,,,
2,3,1,0.61984299,,,,
2,4,1,0.61567100,,,,
2,5,1,0.61904175,,,,
2,6,1,0.62109446,,,,
2,7,1,0.61606436,,,,
3,0,1,0.74168881,,,,
3,1,1,0.74051011,,,,
3,2,1,0.74712287,,,,
3,3,1,0.74425709,,,,
3,4,1,0.74471966,,,,
3,5,1,0.74554439,,,,
3,6,1,0.75100058,,,,
3,7,1,0.74749158,,,,
4,0,1,0.74379739,,,,
4,1,1,0.73476047,,,,
4,2,1,0.73490128,,,,
4,3,1,0.73971786,,,,
4,4,1,0.73854943,,,,
4,5,1,0.74257548,,,,
4,6,1,0.73348698,,,,
4,7,1,0.73504416,,,,
5,0,1,0.76812143,,,,
5,1,1,0.77192995,,,,
5,2,1,0.76997570,,,,
5,3,1,0.76797819,,,,
5,4,1,0.77182590,,,,
5,5,1,0.76263573,,,,
5,6,1,0.77425396,,,,
5,7,1,0.76724775,,,,
6,0,1,0.76111855,,,,
6,1,1,0.75749273,,,,
6,2,1,0.75279813,,,,
6,3,1,0.76322548,,,,
6,4,1,0.75555298,,,,
6,5,1,0.75494250,,,,
6,6,1,0.75461966,,,,
6,7,1,0.75995239,,,,
7,0,1,0.68870318,,,,
7,1,1,0.69463079,,,,
7,2,1,0.68707029,,,,
7,3,1,0.69079651,,,,
7,4,1,0.69748288,,,,
7,5,1,0.68708124,,,,
7,6,1,0.69249992,,,,
7,7,1,0.69371934,,,,
