k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.54377443,,,,
0,1,1,0.53967489,,,,
0,2,1,0.54184849,,,,
0,3,1,0.53996913,,,,
0,4,1,0.54113002,,,,
0,5,1,0.53993326,,,,
0,6,1,0.53916164,,,,
0,7,1,0.54361575,,,,
1,0,1,0.37998686,,,,
1,1,1,0.38494398,,,,
1,2,1,0.37822920,,,,
1,3,1,0.37325359,,,,
1,4,1,0.38553204,,,,
1,5,1,0.37805345,,,,
1,6,1,0.38288796,,,,
1,7,1,0.37971378,,,,
2,0,1,0.65448819,,,,
2,1,1,0.65217410,,,,
2,2,1,0.65593197,,,,
2,3,1,0.65435108,,,,
2,4,1,0.64837314,,,,
2,5,1,0.65978952,,,,
2,6,1,0.65238127,,,,
2,7,1,0.65641262,,,,
3,0,1,0.73062202,,,,
3,1,1,0.73132607,,,,
3,2,1,0.73205914,,,,
3,3,1,0.73116085,,,,
3,4,1,0.73214404,,,,
3,5,1,0.73695659,,,,
3,6,1,0.73631906,,,,
3,7,1,0.72925717,,,,
4,0,1,0.75498553,,,,
4,1,1,0.75417825,,,,
4,2,1,0.75185295,,,,
4,3,1,0.75388215,,,,
4,4,1,0.75192496,,,,
4,5,1,0.74896817,,,,
4,6,1,0.75196880,,,,
4,7,1,0.75421206,,,,
5,0,1,0.63938646,,,,
5,1,1,0.63809421,,,,
5,2,1,0.63538433,,,,
5,3,1,0.64496905,,,,
5,4,1,0.64187894,,,,
5,5,1,0.64284906,,,,
5,6,1,0.64015748,,,,
5,7,1,0.64492486,,,,
6,0,1,0.72306852,,,,
6,1,1,0.72707753,,,,
6,2,1,0.72293164,,,,
6,3,1,0.71954016,,,,
6,4,1,0.72542062,,,,
6,5,1,0.72186363,,,,
6,6,1,0.72358962,,,,
6,7,1,0.72426458,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
