k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.72905258,,,,
0,1,1,0.72631878,,,,
0,2,1,0.72941343,,,,
0,3,1,0.72793884,,,,
0,4,1,0.72844929,,,,
0,5,1,0.72646357,,,,
0,6,1,0.72921872,,,,
0,7,1,0.72480991,,,,
1,0,1,0.73285935,,,,
1,1,1,0.73412198,,,,
1,2,1,0.73350812,,,,
1,3,1,0.73349724,,,,
1,4,1,0.73201160,,,,
1,5,1,0.72918686,,,,
1,6,1,0.73525242,,,,
1,7,1,0.73261217,,,,
2,0,1,0.74312554,,,,
2,1,1,0.74452033,,,,
2,2,1,0.74679606,,,,
2,3,1,0.74707892,,,,
2,4,1,0.74926914,,,,
2,5,1,0.74537258,,,,
2,6,1,0.74021423,,,,
2,7,1,0.74229217,,,,
3,0,1,0.72385925,,,,
3,1,1,0.72154873,,,,
3,2,1,0.71820152,,,,
3,3,1,0.72003905,,,,
3,4,1,0.72394553,,,,
3,5,1,0.71887120,,,,
3,6,1,0.72371357,,,,
3,7,1,0.71918179,,,,
4,0,1,0.66997724,,,,
4,1,1,0.67136501,,,,
4,2,1,0.67110934,,,,
4,3,1,0.67409191,,,,
4,4,1,0.66839055,,,,
4,5,1,0.67275516,,,,
4,6,1,0.67265605,,,,
4,7,1,0.67224018,,,,
5,0,1,0.63858255,,,,
5,1,1,0.64158095,,,,
5,2,1,0.63270268,,,,
5,3,1,0.63424675,,,,
5,4,1,0.63955949,,,,
5,5,1,0.63856111,,,,
5,6,1,0.63391569,,,,
5,7,1,0.63455281,,,,
6,0,1,0.79493713,,,,
6,1,1,0.78797087,,,,
6,2,1,0.78900762,,,,
6,3,1,0.79598050,,,,
6,4,1,0.79854444,,,,
6,5,1,0.79831923,,,,
6,6,1,0.78269569,,,,
6,7,1,0.79835241,,,,
7,0,1,0.68912727,,,,
7,1,1,0.68583936,,,,
7,2,1,0.69024846,,,,
7,3,1,0.68943551,,,,
7,4,1,0.67574057,,,,
7,5,1,0.68640904,,,,
7,6,1,0.68546593,,,,
7,7,1,0.69012949,,,,
