k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.73967747,,,,
0,1,1,0.73991064,,,,
0,2,1,0.73825388,,,,
0,3,1,0.73970091,,,,
0,4,1,0.74390406,,,,
0,5,1,0.74265475,,,,
0,6,1,0.74072047,,,,
0,7,1,0.73413943,,,,
1,0,1,0.73536869,,,,
1,1,1,0.73549664,,,,
1,2,1,0.73064060,,,,
1,3,1,0.73083864,,,,
1,4,1,0.73022928,,,,
1,5,1,0.72907235,,,,
1,6,1,0.73890789,,,,
1,7,1,0.73297081,,,,
2,0,1,0.69597309,,,,
2,1,1,0.69476909,,,,
2,2,1,0.69824620,,,,
2,3,1,0.69243023,,,,
2,4,1,0.69741608,,,,
2,5,1,0.69378646,,,,
2,6,1,0.69412169,,,,
2,7,1,0.69931893,,,,
3,0,1,0.75663981,,,,
3,1,1,0.74631331,,,,
3,2,1,0.75658103,,,,
3,3,1,0.75133948,,,,
3,4,1,0.75404232,,,,
3,5,1,0.74990805,,,,
3,6,1,0.75496379,,,,
3,7,1,0.74856536,,,,
4,0,1,0.75985663,,,,
4,1,1,0.75509833,,,,
4,2,1,0.75977040,,,,
4,3,1,0.75724804,,,,
4,4,1,0.75645577,,,,
4,5,1,0.74758508,,,,
4,6,1,0.75919274,,,,
4,7,1,0.75082618,,,,
5,0,1,0.75652877,,,,
5,1,1,0.75111844,,,,
5,2,1,0.75410011,,,,
5,3,1,0.75256561,,,,
5,4,1,0.74754676,,,,
5,5,1,0.75486047,,,,
5,6,1,0.75118439,,,,
5,7,1,0.75277958,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.72559164,,,,
7,1,1,0.72243147,,,,
7,2,1,0.72425233,,,,
7,3,1,0.72527935,,,,
7,4,1,0.72305368,,,,
7,5,1,0.72551016,,,,
7,6,1,0.71971750,,,,
7,7,1,0.72491922,,,,
