k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.75351171,,,,
0,1,1,0.75371056,,,,
0,2,1,0.75710977,,,,
0,3,1,0.75696120,,,,
0,4,1,0.75728087,,,,
0,5,1,0.75219546,,,,
0,6,1,0.75702592,,,,
0,7,1,0.75396002,,,,
1,0,1,0.61794158,,,,
1,1,1,0.63196719,,,,
1,2,1,0.62975514,,,,
1,3,1,0.62997766,,,,
1,4,1,0.62508301,,,,
1,5,1,0.62935725,,,,
1,6,1,0.62650949,,,,
1,7,1,0.62308405,,,,
2,0,1,0.54004582,,,,
2,1,1,0.54535936,,,,
2,2,1,0.54471001,,,,
2,3,1,0.53913727,,,,
2,4,1,0.53943867,,,,
2,5,1,0.54503988,,,,
2,6,1,0.54439303,,,,
2,7,1,0.53999198,,,,
3,0,1,0.69909406,,,,
3,1,1,0.69955652,,,,
3,2,1,0.69979621,,,,
3,3,1,0.69699510,,,,
3,4,1,0.70304331,,,,
3,5,1,0.70153480,,,,
3,6,1,0.69605356,,,,
3,7,1,0.69992190,,,,
4,0,1,0.80846487,,,,
4,1,1,0.81318029,,,,
4,2,1,0.81182501,,,,
4,3,1,0.81631383,,,,
4,4,1,0.81059500,,,,
4,5,1,0.81068147,,,,
4,6,1,0.81047576,,,,
4,7,1,0.81064419,,,,
5,0,1,0.65454688,,,,
5,1,1,0.64761250,,,,
5,2,1,0.64725401,,,,
5,3,1,0.64982258,,,,
5,4,1,0.64459773,,,,
5,5,1,0.64626460,,,,
5,6,1,0.64580708,,,,
5,7,1,0.64939176,,,,
6,0,1,0.73849262,,,,
6,1,1,0.74491521,,,,
6,2,1,0.74435974,,,,
6,3,1,0.74398699,,,,
6,4,1,0.74415279,,,,
6,5,1,0.74673783,,,,
6,6,1,0.74633104,,,,
6,7,1,0.74929529,,,,
7,0,1,0.65872786,,,,
7,1,1,0.65633912,,,,
7,2,1,0.65690130,,,,
7,3,1,0.65795377,,,,
7,4,1,0.65348828,,,,
7,5,1,0.65438805,,,,
7,6,1,0.66057203,,,,
7,7,1,0.65923225,,,,
