k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.12386894,,,,
0,1,1,0.13221354,,,,
0,2,1,0.12018528,,,,
0,3,1,0.12304199,,,,
0,4,1,0.13481465,,,,
0,5,1,0.12619941,,,,
0,6,1,0.12913130,,,,
0,7,1,0.12529729,,,,
1,0,1,0.74207961,,,,
1,1,1,0.74895370,,,,
1,2,1,0.75170485,,,,
1,3,1,0.75786165,,,,
1,4,1,0.74649753,,,,
1,5,1,0.74902929,,,,
1,6,1,0.75077770,,,,
1,7,1,0.74559447,,,,
2,0,1,0.76695854,,,,
2,1,1,0.77209018,,,,
2,2,1,0.79956963,,,,
2,3,1,0.80193049,,,,
2,4,1,0.80703250,,,,
2,5,1,0.77139154,,,,
2,6,1,0.77397923,,,,
2,7,1,0.77072388,,,,
3,0,1,0.74400374,,,,
3,1,1,0.75013628,,,,
3,2,1,0.74259944,,,,
3,3,1,0.74639304,,,,
3,4,1,0.74357486,,,,
3,5,1,0.74850363,,,,
3,6,1,0.74722751,,,,
3,7,1,0.73869402,,,,
4,0,1,0.76288239,,,,
4,1,1,0.76202231,,,,
4,2,1,0.75483113,,,,
4,3,1,0.75535076,,,,
4,4,1,0.75719713,,,,
4,5,1,0.75572575,,,,
4,6,1,0.76456297,,,,
4,7,1,0.75407360,,,,
5,0,1,0.73661104,,,,
5,1,1,0.74477189,,,,
5,2,1,0.73804064,,,,
5,3,1,0.73693646,,,,
5,4,1,0.73961820,,,,
5,5,1,0.73463031,,,,
5,6,1,0.74297364,,,,
5,7,1,0.73785593,,,,
6,0,1,0.65976124,,,,
6,1,1,0.66129186,,,,
6,2,1,0.66000005,,,,
6,3,1,0.66007620,,,,
6,4,1,0.65889142,,,,
6,5,1,0.65317337,,,,
6,6,1,0.64938798,,,,
6,7,1,0.65700969,,,,
7,0,1,0.72770223,,,,
7,1,1,0.72886327,,,,
7,2,1,0.73017547,,,,
7,3,1,0.73050512,,,,
7,4,1,0.73345548,,,,
7,5,1,0.72922301,,,,
7,6,1,0.73531872,,,,
7,7,1,0.73091705,,,,
