k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.75508101,,,,
0,1,1,0.75843612,,,,
0,2,1,0.74815273,,,,
0,3,1,0.75736363,,,,
0,4,1,0.74989299,,,,
0,5,1,0.75303996,,,,
0,6,1,0.75419627,,,,
0,7,1,0.75236665,,,,
1,0,1,0.53156833,,,,
1,1,1,0.53169799,,,,
1,2,1,0.53386334,,,,
1,3,1,0.53897749,,,,
1,4,1,0.53252298,,,,
1,5,1,0.53225308,,,,
1,6,1,0.53177933,,,,
1,7,1,0.53655091,,,,
2,0,1,0.56677141,,,,
2,1,1,0.56762738,,,,
2,2,1,0.57447129,,,,
2,3,1,0.57269978,,,,
2,4,1,0.57405105,,,,
2,5,1,0.57291631,,,,
2,6,1,0.56963096,,,,
2,7,1,0.56784835,,,,
3,0,1,0.69826754,,,,
3,1,1,0.70777515,,,,
3,2,1,0.69838265,,,,
3,3,1,0.69879226,,,,
3,4,1,0.70223247,,,,
3,5,1,0.70154271,,,,
3,6,1,0.69949682,,,,
3,7,1,0.70510671,,,,
4,0,1,0.59700685,,,,
4,1,1,0.59140845,,,,
4,2,1,0.59042851,,,,
4,3,1,0.59030685,,,,
4,4,1,0.59686057,,,,
4,5,1,0.58930363,,,,
4,6,1,0.59483104,,,,
4,7,1,0.59704738,,,,
5,0,1,0.80050595,,,,
5,1,1,0.80182846,,,,
5,2,1,0.79971542,,,,
5,3,1,0.80317339,,,,
5,4,1,0.80243064,,,,
5,5,1,0.80428273,,,,
5,6,1,0.79924387,,,,
5,7,1,0.80294011,,,,
6,0,1,0.58884779,,,,
6,1,1,0.58783467,,,,
6,2,1,0.58827892,,,,
6,3,1,0.58912031,,,,
6,4,1,0.58848777,,,,
6,5,1,0.59257073,,,,
6,6,1,0.59359023,,,,
6,7,1,0.58976612,,,,
7,0,1,0.71918365,,,,
7,1,1,0.72310458,,,,
7,2,1,0.72007985,,,,
7,3,1,0.71817172,,,,
7,4,1,0.71750676,,,,
7,5,1,0.71764888,,,,
7,6,1,0.71469181,,,,
7,7,1,0.72078714,,,,
