k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.69312715,,,,
0,1,1,0.69190010,,,,
0,2,1,0.69620537,,,,
0,3,1,0.69668326,,,,
0,4,1,0.68962042,,,,
0,5,1,0.69288496,,,,
0,6,1,0.69159402,,,,
0,7,1,0.69423873,,,,
1,0,1,0.71411459,,,,
1,1,1,0.71419771,,,,
1,2,1,0.70592033,,,,
1,3,1,0.71222864,,,,
1,4,1,0.71019237,,,,
1,5,1,0.70772714,,,,
1,6,1,0.70859485,,,,
1,7,1,0.71219442,,,,
2,0,1,0.66077958,,,,
2,1,1,0.67430402,,,,
2,2,1,0.66720262,,,,
2,3,1,0.67075025,,,,
2,4,1,0.67220078,,,,
2,5,1,0.67412215,,,,
2,6,1,0.67114536,,,,
2,7,1,0.66685240,,,,
3,0,1,0.56967043,,,,
3,1,1,0.57453797,,,,
3,2,1,0.57291961,,,,
3,3,1,0.57386427,,,,
3,4,1,0.57258429,,,,
3,5,1,0.57278212,,,,
3,6,1,0.57333408,,,,
3,7,1,0.57594698,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.00000000,,,,
5,1,1,0.00000000,,,,
5,2,1,0.00000000,,,,
5,3,1,0.00000000,,,,
5,4,1,0.00000000,,,,
5,5,1,0.00000000,,,,
5,6,1,0.00000000,,,,
5,7,1,0.00000000,,,,
6,0,1,0.71021281,,,,
6,1,1,0.71443457,,,,
6,2,1,0.70970293,,,,
6,3,1,0.70813140,,,,
6,4,1,0.71362292,,,,
6,5,1,0.71273460,,,,
6,6,1,0.70895152,,,,
6,7,1,0.71008892,,,,
7,0,1,0.80046165,,,,
7,1,1,0.75704388,,,,
7,2,1,0.75682746,,,,
7,3,1,0.75559478,,,,
7,4,1,0.76048664,,,,
7,5,1,0.80263679,,,,
7,6,1,0.76171823,,,,
7,7,1,0.76312864,,,,
