k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.63039877,,,,
0,1,1,0.62754171,,,,
0,2,1,0.63988030,,,,
0,3,1,0.63365149,,,,
0,4,1,0.63454916,,,,
0,5,1,0.62910718,,,,
0,6,1,0.63515589,,,,
0,7,1,0.63596343,,,,
1,0,1,0.70890915,,,,
1,1,1,0.70677352,,,,
1,2,1,0.70572440,,,,
1,3,1,0.70042887,,,,
1,4,1,0.69327299,,,,
1,5,1,0.69998956,,,,
1,6,1,0.70505327,,,,
1,7,1,0.70514275,,,,
2,0,1,0.70234245,,,,
2,1,1,0.70412073,,,,
2,2,1,0.69915329,,,,
2,3,1,0.70127864,,,,
2,4,1,0.70075392,,,,
2,5,1,0.70045622,,,,
2,6,1,0.70084922,,,,
2,7,1,0.69514268,,,,
3,0,1,0.70107066,,,,
3,1,1,0.70802226,,,,
3,2,1,0.70037242,,,,
3,3,1,0.70479752,,,,
3,4,1,0.70505168,,,,
3,5,1,0.70290447,,,,
3,6,1,0.70280330,,,,
3,7,1,0.70911714,,,,
4,0,1,0.78641544,,,,
4,1,1,0.78730355,,,,
4,2,1,0.78809628,,,,
4,3,1,0.78910356,,,,
4,4,1,0.78589643,,,,
4,5,1,0.78864570,,,,
4,6,1,0.78915881,,,,
4,7,1,0.78724696,,,,
5,0,1,0.72458294,,,,
5,1,1,0.72216161,,,,
5,2,1,0.71616383,,,,
5,3,1,0.72454162,,,,
5,4,1,0.72108588,,,,
5,5,1,0.71535023,,,,
5,6,1,0.71877931,,,,
5,7,1,0.72252413,,,,
6,0,1,0.67322804,,,,
6,1,1,0.66990365,,,,
6,2,1,0.66704758,,,,
6,3,1,0.67459641,,,,
6,4,1,0.67479667,,,,
6,5,1,0.67201448,,,,
6,6,1,0.66982036,,,,
6,7,1,0.66365473,,,,
7,0,1,0.75480934,,,,
7,1,1,0.75435627,,,,
7,2,1,0.75653361,,,,
7,3,1,0.76258987,,,,
7,4,1,0.75305335,,,,
7,5,1,0.75531553,,,,
7,6,1,0.75321609,,,,
7,7,1,0.76181576,,,,
