k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
0,1,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
0,2,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
0,3,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
0,4,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
0,5,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
0,6,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
0,7,0,,dag_validation_failed,dag_validation_failed,Self-loop edge '6 -> 6' not allowed,
1,0,1,0.71891661,,,,
1,1,1,0.72096342,,,,
1,2,1,0.72618348,,,,
1,3,1,0.71981224,,,,
1,4,1,0.72645387,,,,
1,5,1,0.72329460,,,,
1,6,1,0.72885667,,,,
1,7,1,0.72837587,,,,
2,0,1,0.61952790,,,,
2,1,1,0.62403073,,,,
2,2,1,0.62081763,,,,
2,3,1,0.61992174,,,,
2,4,1,0.62590805,,,,
2,5,1,0.61500033,,,,
2,6,1,0.61923022,,,,
2,7,1,0.62168866,,,,
3,0,1,0.75390546,,,,
3,1,1,0.75042526,,,,
3,2,1,0.75175940,,,,
3,3,1,0.75594418,,,,
3,4,1,0.74710212,,,,
3,5,1,0.75056973,,,,
3,6,1,0.75320786,,,,
3,7,1,0.74849286,,,,
4,0,1,0.76516502,,,,
4,1,1,0.76980930,,,,
4,2,1,0.76979711,,,,
4,3,1,0.76759750,,,,
4,4,1,0.76396490,,,,
4,5,1,0.76289606,,,,
4,6,1,0.77200707,,,,
4,7,1,0.76425095,,,,
5,0,1,0.64418912,,,,
5,1,1,0.63729729,,,,
5,2,1,0.64713982,,,,
5,3,1,0.63554185,,,,
5,4,1,0.63471648,,,,
5,5,1,0.64274059,,,,
5,6,1,0.64312452,,,,
5,7,1,0.64103594,,,,
6,0,1,0.77869599,,,,
6,1,1,0.77744212,,,,
6,2,1,0.77615260,,,,
6,3,1,0.77434406,,,,
6,4,1,0.77013477,,,,
6,5,1,0.77425197,,,,
6,6,1,0.77859647,,,,
6,7,1,0.77533477,,,,
7,0,1,0.56639767,,,,
7,1,1,0.56865773,,,,
7,2,1,0.56586945,,,,
7,3,1,0.56344216,,,,
7,4,1,0.56540851,,,,
7,5,1,0.56502968,,,,
7,6,1,0.56405637,,,,
7,7,1,0.56747578,,,,
