k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.71847114,,,,
0,1,1,0.71529392,,,,
0,2,1,0.71323707,,,,
0,3,1,0.71112023,,,,
0,4,1,0.71591769,,,,
0,5,1,0.71592818,,,,
0,6,1,0.72096877,,,,
0,7,1,0.71387165,,,,
1,0,1,0.76802303,,,,
1,1,1,0.76613658,,,,
1,2,1,0.76562555,,,,
1,3,1,0.76201844,,,,
1,4,1,0.76229806,,,,
1,5,1,0.76370283,,,,
1,6,1,0.76613518,,,,
1,7,1,0.76309345,,,,
2,0,1,0.59458998,,,,
2,1,1,0.59751383,,,,
2,2,1,0.59761324,,,,
2,3,1,0.59478967,,,,
2,4,1,0.59597255,,,,
2,5,1,0.59680144,,,,
2,6,1,0.59012665,,,,
2,7,1,0.59758221,,,,
3,0,1,0.64362197,,,,
3,1,1,0.63590069,,,,
3,2,1,0.63475238,,,,
3,3,1,0.62761734,,,,
3,4,1,0.63153697,,,,
3,5,1,0.63363200,,,,
3,6,1,0.63435983,,,,
3,7,1,0.64052857,,,,
4,0,1,0.61596944,,,,
4,1,1,0.61662198,,,,
4,2,1,0.62097082,,,,
4,3,1,0.61848154,,,,
4,4,1,0.62176384,,,,
4,5,1,0.61807891,,,,
4,6,1,0.61769734,,,,
4,7,1,0.62210951,,,,
5,0,1,0.36905613,,,,
5,1,1,0.37422465,,,,
5,2,1,0.36470185,,,,
5,3,1,0.37268372,,,,
5,4,1,0.37169746,,,,
5,5,1,0.36350599,,,,
5,6,1,0.36950392,,,,
5,7,1,0.36201707,,,,
6,0,1,0.74462202,,,,
6,1,1,0.73926111,,,,
6,2,1,0.73608771,,,,
6,3,1,0.74823466,,,,
6,4,1,0.74087435,,,,
6,5,1,0.74050625,,,,
6,6,1,0.74036990,,,,
6,7,1,0.74321913,,,,
7,0,1,0.75129574,,,,
7,1,1,0.75746875,,,,
7,2,1,0.74666770,,,,
7,3,1,0.74031476,,,,
7,4,1,0.74592861,,,,
7,5,1,0.75280898,,,,
7,6,1,0.75001658,,,,
7,7,1,0.74952637,,,,
