k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
0,1,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
0,2,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
0,3,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
0,4,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
0,5,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
0,6,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
0,7,0,,dag_validation_failed,dag_validation_failed,Node 8: unknown role 'Example'; Node 9: unknown role 'Example'; Node 10: unknown role 'Example'; Node 11: unknown role 'Example',
1,0,1,0.43352663,,,,
1,1,1,0.44690216,,,,
1,2,1,0.44424870,,,,
1,3,1,0.43224057,,,,
1,4,1,0.44705708,,,,
1,5,1,0.43754858,,,,
1,6,1,0.44140944,,,,
1,7,1,0.44342846,,,,
2,0,1,0.34436737,,,,
2,1,1,0.36583618,,,,
2,2,1,0.35517792,,,,
2,3,1,0.33289254,,,,
2,4,1,0.35419111,,,,
2,5,1,0.34429090,,,,
2,6,1,0.36301476,,,,
2,7,1,0.35627408,,,,
3,0,1,0.48633772,,,,
3,1,1,0.48599057,,,,
3,2,1,0.47861763,,,,
3,3,1,0.47134624,,,,
3,4,1,0.47633913,,,,
3,5,1,0.48185839,,,,
3,6,1,0.47982457,,,,
3,7,1,0.48193028,,,,
4,0,1,0.55190206,,,,
4,1,1,0.56250642,,,,
4,2,1,0.54264148,,,,
4,3,1,0.54294640,,,,
4,4,1,0.54053411,,,,
4,5,1,0.54683802,,,,
4,6,1,0.55456588,,,,
4,7,1,0.53285992,,,,
5,0,1,0.63109024,,,,
5,1,1,0.63344627,,,,
5,2,1,0.62625074,,,,
5,3,1,0.62958031,,,,
5,4,1,0.63509076,,,,
5,5,1,0.61962317,,,,
5,6,1,0.63621841,,,,
5,7,1,0.63887252,,,,
6,0,1,0.73887253,,,,
6,1,1,0.74007995,,,,
6,2,1,0.74576623,,,,
6,3,1,0.74376987,,,,
6,4,1,0.74460767,,,,
6,5,1,0.74531036,,,,
6,6,1,0.72744589,,,,
6,7,1,0.74298573,,,,
7,0,1,0.39444975,,,,
7,1,1,0.40264401,,,,
7,2,1,0.38686819,,,,
7,3,1,0.40239655,,,,
7,4,1,0.39643254,,,,
7,5,1,0.40729681,,,,
7,6,1,0.39976537,,,,
7,7,1,0.40863621,,,,
