k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.73530085,,,,
0,1,1,0.71509934,,,,
0,2,1,0.72344600,,,,
0,3,1,0.72726470,,,,
0,4,1,0.71100590,,,,
0,5,1,0.72255280,,,,
0,6,1,0.72846377,,,,
0,7,1,0.73234512,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.82494389,,,,
2,1,1,0.82090591,,,,
2,2,1,0.83323982,,,,
2,3,1,0.82427623,,,,
2,4,1,0.82383840,,,,
2,5,1,0.82278623,,,,
2,6,1,0.81841748,,,,
2,7,1,0.81529337,,,,
3,0,1,0.76215647,,,,
3,1,1,0.75690656,,,,
3,2,1,0.75934843,,,,
3,3,1,0.76192829,,,,
3,4,1,0.76007599,,,,
3,5,1,0.76177496,,,,
3,6,1,0.76514148,,,,
3,7,1,0.75670371,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.62333021,,,,
5,1,1,0.62714960,,,,
5,2,1,0.62582622,,,,
5,3,1,0.62017777,,,,
5,4,1,0.61810949,,,,
5,5,1,0.62078335,,,,
5,6,1,0.62011201,,,,
5,7,1,0.62040961,,,,
6,0,1,0.79569504,,,,
6,1,1,0.79045152,,,,
6,2,1,0.79143575,,,,
6,3,1,0.78874212,,,,
6,4,1,0.79649969,,,,
6,5,1,0.79858906,,,,
6,6,1,0.79556658,,,,
6,7,1,0.78968869,,,,
7,0,1,0.77018953,,,,
7,1,1,0.76897325,,,,
7,2,1,0.76781143,,,,
7,3,1,0.76713581,,,,
7,4,1,0.76482267,,,,
7,5,1,0.76232770,,,,
7,6,1,0.75945461,,,,
7,7,1,0.77239249,,,,
