k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.71667911,,,,
0,1,1,0.71466705,,,,
0,2,1,0.70593204,,,,
0,3,1,0.70994929,,,,
0,4,1,0.72087570,,,,
0,5,1,0.73348908,,,,
0,6,1,0.73702684,,,,
0,7,1,0.71827216,,,,
1,0,1,0.42677952,,,,
1,1,1,0.42957985,,,,
1,2,1,0.43092363,,,,
1,3,1,0.42846911,,,,
1,4,1,0.42548648,,,,
1,5,1,0.42761586,,,,
1,6,1,0.43144799,,,,
1,7,1,0.43783048,,,,
2,0,1,0.44022400,,,,
2,1,1,0.45331070,,,,
2,2,1,0.44132531,,,,
2,3,1,0.45424141,,,,
2,4,1,0.44223480,,,,
2,5,1,0.45357107,,,,
2,6,1,0.45684963,,,,
2,7,1,0.45206166,,,,
3,0,1,0.71450399,,,,
3,1,1,0.71291712,,,,
3,2,1,0.71835409,,,,
3,3,1,0.70108092,,,,
3,4,1,0.71851071,,,,
3,5,1,0.71739151,,,,
3,6,1,0.71581257,,,,
3,7,1,0.70423257,,,,
4,0,1,0.69654938,,,,
4,1,1,0.68900922,,,,
4,2,1,0.68324768,,,,
4,3,1,0.69097072,,,,
4,4,1,0.69197336,,,,
4,5,1,0.69110055,,,,
4,6,1,0.68707736,,,,
4,7,1,0.68869813,,,,
5,0,1,0.71753229,,,,
5,1,1,0.71086006,,,,
5,2,1,0.71925429,,,,
5,3,1,0.71553778,,,,
5,4,1,0.71922832,,,,
5,5,1,0.71148038,,,,
5,6,1,0.71850765,,,,
5,7,1,0.71786068,,,,
6,0,1,0.41667804,,,,
6,1,1,0.42648511,,,,
6,2,1,0.41747302,,,,
6,3,1,0.41059869,,,,
6,4,1,0.41761259,,,,
6,5,1,0.41361362,,,,
6,6,1,0.42602940,,,,
6,7,1,0.42516373,,,,
7,0,1,0.65419442,,,,
7,1,1,0.65192594,,,,
7,2,1,0.65496442,,,,
7,3,1,0.65437994,,,,
7,4,1,0.65243231,,,,
7,5,1,0.65565383,,,,
7,6,1,0.65643262,,,,
7,7,1,0.65217779,,,,
