k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.66242477,,,,
0,1,1,0.66556440,,,,
0,2,1,0.66126904,,,,
0,3,1,0.66237306,,,,
0,4,1,0.66792539,,,,
0,5,1,0.66597628,,,,
0,6,1,0.66872635,,,,
0,7,1,0.65859089,,,,
1,0,1,0.73173871,,,,
1,1,1,0.73069823,,,,
1,2,1,0.73800564,,,,
1,3,1,0.72822166,,,,
1,4,1,0.72600092,,,,
1,5,1,0.72764728,,,,
1,6,1,0.73276116,,,,
1,7,1,0.73564288,,,,
2,0,1,0.74315076,,,,
2,1,1,0.74128108,,,,
2,2,1,0.74200129,,,,
2,3,1,0.73641253,,,,
2,4,1,0.74583523,,,,
2,5,1,0.74034116,,,,
2,6,1,0.74467976,,,,
2,7,1,0.73273237,,,,
3,0,1,0.11199103,,,,
3,1,1,0.10657831,,,,
3,2,1,0.11244209,,,,
3,3,1,0.11424633,,,,
3,4,1,0.10579647,,,,
3,5,1,0.10229324,,,,
3,6,1,0.11199103,,,,
3,7,1,0.10139112,,,,
4,0,1,0.51723247,,,,
4,1,1,0.51853781,,,,
4,2,1,0.50109103,,,,
4,3,1,0.51436807,,,,
4,4,1,0.52431787,,,,
4,5,1,0.51777614,,,,
4,6,1,0.52094073,,,,
4,7,1,0.51756308,,,,
5,0,1,0.69090328,,,,
5,1,1,0.69681417,,,,
5,2,1,0.68999683,,,,
5,3,1,0.69878392,,,,
5,4,1,0.69683985,,,,
5,5,1,0.69630599,,,,
5,6,1,0.68212261,,,,
5,7,1,0.69132378,,,,
6,0,1,0.57880133,,,,
6,1,1,0.56527113,,,,
6,2,1,0.56761206,,,,
6,3,1,0.57551945,,,,
6,4,1,0.57136515,,,,
6,5,1,0.56324983,,,,
6,6,1,0.56140510,,,,
6,7,1,0.57380428,,,,
7,0,1,0.48268692,,,,
7,1,1,0.49663312,,,,
7,2,1,0.50057357,,,,
7,3,1,0.49467310,,,,
7,4,1,0.50054668,,,,
7,5,1,0.48851567,,,,
7,6,1,0.48571030,,,,
7,7,1,0.50304584,,,,
