k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.12519938,,,,
0,1,1,0.12828162,,,,
0,2,1,0.12828162,,,,
0,3,1,0.12309443,,,,
0,4,1,0.12301926,,,,
0,5,1,0.12392138,,,,
0,6,1,0.12519938,,,,
0,7,1,0.13752835,,,,
1,0,1,0.62401010,,,,
1,1,1,0.62296953,,,,
1,2,1,0.62446695,,,,
1,3,1,0.63006581,,,,
1,4,1,0.62580622,,,,
1,5,1,0.62885847,,,,
1,6,1,0.61809774,,,,
1,7,1,0.62404979,,,,
2,0,1,0.45358062,,,,
2,1,1,0.44747284,,,,
2,2,1,0.44388019,,,,
2,3,1,0.44437405,,,,
2,4,1,0.44628723,,,,
2,5,1,0.44805577,,,,
2,6,1,0.44738695,,,,
2,7,1,0.44141053,,,,
3,0,1,0.66027141,,,,
3,1,1,0.65401946,,,,
3,2,1,0.65009221,,,,
3,3,1,0.65545832,,,,
3,4,1,0.65723167,,,,
3,5,1,0.65555817,,,,
3,6,1,0.65348797,,,,
3,7,1,0.66132930,,,,
4,0,1,0.64925478,,,,
4,1,1,0.64640218,,,,
4,2,1,0.65506137,,,,
4,3,1,0.64174318,,,,
4,4,1,0.64372608,,,,
4,5,1,0.64988218,,,,
4,6,1,0.64888948,,,,
4,7,1,0.65125792,,,,
5,0,1,0.54826314,,,,
5,1,1,0.54850848,,,,
5,2,1,0.54600114,,,,
5,3,1,0.54344271,,,,
5,4,1,0.54719339,,,,
5,5,1,0.55102141,,,,
5,6,1,0.55089615,,,,
5,7,1,0.54847983,,,,
6,0,1,0.69605507,,,,
6,1,1,0.68616380,,,,
6,2,1,0.69172465,,,,
6,3,1,0.68947641,,,,
6,4,1,0.69009787,,,,
6,5,1,0.68800445,,,,
6,6,1,0.68957413,,,,
6,7,1,0.69034120,,,,
7,0,1,0.49135195,,,,
7,1,1,0.48993301,,,,
7,2,1,0.48353665,,,,
7,3,1,0.49159928,,,,
7,4,1,0.49108941,,,,
7,5,1,0.48704223,,,,
7,6,1,0.48856438,,,,
7,7,1,0.49066403,,,,
