k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.42120546,,,,
0,1,1,0.42404947,,,,
0,2,1,0.42369700,,,,
0,3,1,0.43469840,,,,
0,4,1,0.42680106,,,,
0,5,1,0.41943881,,,,
0,6,1,0.42223914,,,,
0,7,1,0.42848561,,,,
1,0,1,0.61791224,,,,
1,1,1,0.61344972,,,,
1,2,1,0.61630998,,,,
1,3,1,0.61311280,,,,
1,4,1,0.60902254,,,,
1,5,1,0.61596753,,,,
1,6,1,0.61630351,,,,
1,7,1,0.60918031,,,,
2,0,1,0.54991278,,,,
2,1,1,0.53923523,,,,
2,2,1,0.54846379,,,,
2,3,1,0.54175957,,,,
2,4,1,0.54935932,,,,
2,5,1,0.54509561,,,,
2,6,1,0.55083178,,,,
2,7,1,0.54599333,,,,
3,0,1,0.56187408,,,,
3,1,1,0.55752531,,,,
3,2,1,0.55327574,,,,
3,3,1,0.56889520,,,,
3,4,1,0.56207245,,,,
3,5,1,0.56035975,,,,
3,6,1,0.56637705,,,,
3,7,1,0.56942543,,,,
4,0,1,0.68679679,,,,
4,1,1,0.68134128,,,,
4,2,1,0.68281785,,,,
4,3,1,0.67511872,,,,
4,4,1,0.67406715,,,,
4,5,1,0.68642035,,,,
4,6,1,0.68597992,,,,
4,7,1,0.67953576,,,,
5,0,1,0.62650143,,,,
5,1,1,0.64150696,,,,
5,2,1,0.63749972,,,,
5,3,1,0.62771727,,,,
5,4,1,0.62439919,,,,
5,5,1,0.62394446,,,,
5,6,1,0.62185355,,,,
5,7,1,0.62741389,,,,
6,0,1,0.63875830,,,,
6,1,1,0.62863642,,,,
6,2,1,0.63996795,,,,
6,3,1,0.62685109,,,,
6,4,1,0.63355116,,,,
6,5,1,0.63974359,,,,
6,6,1,0.63114631,,,,
6,7,1,0.63564631,,,,
7,0,1,0.46566818,,,,
7,1,1,0.46253974,,,,
7,2,1,0.46068790,,,,
7,3,1,0.46553126,,,,
7,4,1,0.46310351,,,,
7,5,1,0.46410800,,,,
7,6,1,0.46521066,,,,
7,7,1,0.46296388,,,,
