k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.36753924,,,,
0,1,1,0.36981771,,,,
0,2,1,0.37665759,,,,
0,3,1,0.36913908,,,,
0,4,1,0.36879020,,,,
0,5,1,0.37136853,,,,
0,6,1,0.37236221,,,,
0,7,1,0.36093146,,,,
1,0,1,0.49651178,,,,
1,1,1,0.50460773,,,,
1,2,1,0.50698776,,,,
1,3,1,0.50958429,,,,
1,4,1,0.50263622,,,,
1,5,1,0.50460321,,,,
1,6,1,0.50464043,,,,
1,7,1,0.50529074,,,,
2,0,1,0.67857173,,,,
2,1,1,0.67846024,,,,
2,2,1,0.68355690,,,,
2,3,1,0.67676244,,,,
2,4,1,0.68442481,,,,
2,5,1,0.68007087,,,,
2,6,1,0.68059657,,,,
2,7,1,0.68684004,,,,
3,0,1,0.63683335,,,,
3,1,1,0.62856854,,,,
3,2,1,0.63323670,,,,
3,3,1,0.63423063,,,,
3,4,1,0.63166228,,,,
3,5,1,0.62838026,,,,
3,6,1,0.63279832,,,,
3,7,1,0.63995956,,,,
4,0,1,0.62047152,,,,
4,1,1,0.61450294,,,,
4,2,1,0.61695185,,,,
4,3,1,0.62123356,,,,
4,4,1,0.61698995,,,,
4,5,1,0.60935890,,,,
4,6,1,0.61332326,,,,
4,7,1,0.62445598,,,,
5,0,1,0.67715591,,,,
5,1,1,0.67047368,,,,
5,2,1,0.67425999,,,,
5,3,1,0.67376823,,,,
5,4,1,0.66946948,,,,
5,5,1,0.66737753,,,,
5,6,1,0.67180918,,,,
5,7,1,0.67670891,,,,
6,0,1,0.56694946,,,,
6,1,1,0.56475727,,,,
6,2,1,0.56533844,,,,
6,3,1,0.56323799,,,,
6,4,1,0.56293088,,,,
6,5,1,0.56574387,,,,
6,6,1,0.56626592,,,,
6,7,1,0.56978580,,,,
7,0,1,0.68340706,,,,
7,1,1,0.68339321,,,,
7,2,1,0.68715288,,,,
7,3,1,0.68547600,,,,
7,4,1,0.67328754,,,,
7,5,1,0.68067472,,,,
7,6,1,0.67420470,,,,
7,7,1,0.67672727,,,,
