k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.42788123,,,,
0,1,1,0.42462232,,,,
0,2,1,0.43097587,,,,
0,3,1,0.42166412,,,,
0,4,1,0.42998955,,,,
0,5,1,0.42672726,,,,
0,6,1,0.42520306,,,,
0,7,1,0.42430470,,,,
1,0,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
1,1,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
1,2,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
1,3,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
1,4,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
1,5,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
1,6,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
1,7,0,,dag_validation_failed,dag_validation_failed,Node 2: child '15' does not exist,
2,0,1,0.68651508,,,,
2,1,1,0.68578745,,,,
2,2,1,0.68108454,,,,
2,3,1,0.68375570,,,,
2,4,1,0.68331502,,,,
2,5,1,0.68260106,,,,
2,6,1,0.68314564,,,,
2,7,1,0.68722671,,,,
3,0,1,0.79200817,,,,
3,1,1,0.79956410,,,,
3,2,1,0.79849156,,,,
3,3,1,0.79992066,,,,
3,4,1,0.80330426,,,,
3,5,1,0.79731485,,,,
3,6,1,0.80240487,,,,
3,7,1,0.79872748,,,,
4,0,1,0.63273068,,,,
4,1,1,0.63133986,,,,
4,2,1,0.63541272,,,,
4,3,1,0.63379458,,,,
4,4,1,0.63657568,,,,
4,5,1,0.63194905,,,,
4,6,1,0.63419702,,,,
4,7,1,0.63394568,,,,
5,0,1,0.76302888,,,,
5,1,1,0.75935242,,,,
5,2,1,0.75866346,,,,
5,3,1,0.76214711,,,,
5,4,1,0.75356508,,,,
5,5,1,0.76869943,,,,
5,6,1,0.76142747,,,,
5,7,1,0.75945369,,,,
6,0,1,0.75280803,,,,
6,1,1,0.74743308,,,,
6,2,1,0.74856626,,,,
6,3,1,0.75235531,,,,
6,4,1,0.75175644,,,,
6,5,1,0.75277377,,,,
6,6,1,0.75394052,,,,
6,7,1,0.75276848,,,,
7,0,1,0.68215907,,,,
7,1,1,0.68177779,,,,
7,2,1,0.68249171,,,,
7,3,1,0.68250387,,,,
7,4,1,0.68558071,,,,
7,5,1,0.68315758,,,,
7,6,1,0.68748095,,,,
7,7,1,0.68031890,,,,
