k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.51690009,,,,
0,1,1,0.51258382,,,,
0,2,1,0.51038944,,,,
0,3,1,0.51589882,,,,
0,4,1,0.51292770,,,,
0,5,1,0.51398639,,,,
0,6,1,0.51218922,,,,
0,7,1,0.51630121,,,,
1,0,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
1,1,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
1,2,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
1,3,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
1,4,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
1,5,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
1,6,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
1,7,0,,dag_validation_failed,dag_validation_failed,Node 14: unknown role 'Recommendation',
2,0,1,0.19404476,,,,
2,1,1,0.18880119,,,,
2,2,1,0.19593921,,,,
2,3,1,0.19041421,,,,
2,4,1,0.18887636,,,,
2,5,1,0.19040857,,,,
2,6,1,0.19351852,,,,
2,7,1,0.19812309,,,,
3,0,1,0.34421222,,,,
3,1,1,0.34841720,,,,
3,2,1,0.34902914,,,,
3,3,1,0.34408719,,,,
3,4,1,0.34466450,,,,
3,5,1,0.35135458,,,,
3,6,1,0.34431797,,,,
3,7,1,0.34691600,,,,
4,0,1,0.11801303,,,,
4,1,1,0.11738155,,,,
4,2,1,0.11850920,,,,
4,3,1,0.12324533,,,,
4,4,1,0.12354603,,,,
4,5,1,0.12064422,,,,
4,6,1,0.11091636,,,,
4,7,1,0.11344229,,,,
5,0,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
5,1,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
5,2,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
5,3,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
5,4,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
5,5,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
5,6,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
5,7,0,,dag_validation_failed,dag_validation_failed,Node 13: unknown role 'Recommendation',
6,0,1,0.49881333,,,,
6,1,1,0.49986587,,,,
6,2,1,0.49194652,,,,
6,3,1,0.49859952,,,,
6,4,1,0.50092655,,,,
6,5,1,0.50046296,,,,
6,6,1,0.50172099,,,,
6,7,1,0.50030323,,,,
7,0,1,0.12221505,,,,
7,1,1,0.12349305,,,,
7,2,1,0.11311868,,,,
7,3,1,0.11962897,,,,
7,4,1,0.12221505,,,,
7,5,1,0.11605057,,,,
7,6,1,0.12364341,,,,
7,7,1,0.12036571,,,,
