k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.65287116,,,,
0,1,1,0.65013592,,,,
0,2,1,0.64996721,,,,
0,3,1,0.65069781,,,,
0,4,1,0.64697630,,,,
0,5,1,0.64690535,,,,
0,6,1,0.65244898,,,,
0,7,1,0.65273317,,,,
1,0,1,0.11296833,,,,
1,1,1,0.12048599,,,,
1,2,1,0.11815551,,,,
1,3,1,0.11732857,,,,
1,4,1,0.11387044,,,,
1,5,1,0.12011011,,,,
1,6,1,0.11146479,,,,
1,7,1,0.11965905,,,,
2,0,1,0.32055794,,,,
2,1,1,0.32424997,,,,
2,2,1,0.32627100,,,,
2,3,1,0.30809175,,,,
2,4,1,0.31963769,,,,
2,5,1,0.31790050,,,,
2,6,1,0.31688152,,,,
2,7,1,0.32468079,,,,
3,0,1,0.72814143,,,,
3,1,1,0.72850685,,,,
3,2,1,0.72970065,,,,
3,3,1,0.73139427,,,,
3,4,1,0.73088940,,,,
3,5,1,0.73069663,,,,
3,6,1,0.73014056,,,,
3,7,1,0.73302944,,,,
4,0,1,0.47115311,,,,
4,1,1,0.46403897,,,,
4,2,1,0.45983591,,,,
4,3,1,0.45914113,,,,
4,4,1,0.41661764,,,,
4,5,1,0.45405221,,,,
4,6,1,0.46068297,,,,
4,7,1,0.45797373,,,,
5,0,1,0.68533215,,,,
5,1,1,0.68623238,,,,
5,2,1,0.68482871,,,,
5,3,1,0.68030167,,,,
5,4,1,0.69377577,,,,
5,5,1,0.69178244,,,,
5,6,1,0.68264014,,,,
5,7,1,0.69228321,,,,
6,0,1,0.45941214,,,,
6,1,1,0.44462972,,,,
6,2,1,0.45969396,,,,
6,3,1,0.45230027,,,,
6,4,1,0.46000156,,,,
6,5,1,0.46054219,,,,
6,6,1,0.45789289,,,,
6,7,1,0.44719109,,,,
7,0,1,0.63346724,,,,
7,1,1,0.64119938,,,,
7,2,1,0.63339968,,,,
7,3,1,0.63009567,,,,
7,4,1,0.63812050,,,,
7,5,1,0.63814010,,,,
7,6,1,0.63837697,,,,
7,7,1,0.64382617,,,,
