k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.62328382,,,,
0,1,1,0.62841394,,,,
0,2,1,0.62943567,,,,
0,3,1,0.62422716,,,,
0,4,1,0.63636727,,,,
0,5,1,0.62585665,,,,
0,6,1,0.62470563,,,,
0,7,1,0.62279500,,,,
1,0,1,0.70427837,,,,
1,1,1,0.70585054,,,,
1,2,1,0.71021478,,,,
1,3,1,0.71142312,,,,
1,4,1,0.69791164,,,,
1,5,1,0.70975795,,,,
1,6,1,0.71173187,,,,
1,7,1,0.70913173,,,,
2,0,1,0.56422129,,,,
2,1,1,0.56710552,,,,
2,2,1,0.56607716,,,,
2,3,1,0.55949578,,,,
2,4,1,0.57158434,,,,
2,5,1,0.56643724,,,,
2,6,1,0.55997871,,,,
2,7,1,0.56412050,,,,
3,0,1,0.00000000,,,,
3,1,1,0.00000000,,,,
3,2,1,0.00000000,,,,
3,3,1,0.00000000,,,,
3,4,1,0.00000000,,,,
3,5,1,0.00000000,,,,
3,6,1,0.00000000,,,,
3,7,1,0.00000000,,,,
4,0,1,0.76250679,,,,
4,1,1,0.75908624,,,,
4,2,1,0.75678533,,,,
4,3,1,0.76061137,,,,
4,4,1,0.75401416,,,,
4,5,1,0.76296191,,,,
4,6,1,0.76396750,,,,
4,7,1,0.75705245,,,,
5,0,1,0.61584115,,,,
5,1,1,0.61402493,,,,
5,2,1,0.61548724,,,,
5,3,1,0.61562186,,,,
5,4,1,0.61709260,,,,
5,5,1,0.61379525,,,,
5,6,1,0.61278658,,,,
5,7,1,0.61705754,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.48041792,,,,
7,1,1,0.47870896,,,,
7,2,1,0.47586972,,,,
7,3,1,0.47253755,,,,
7,4,1,0.48436410,,,,
7,5,1,0.48759734,,,,
7,6,1,0.47954177,,,,
7,7,1,0.47943891,,,,
