k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.58868708,,,,
0,1,1,0.59478369,,,,
0,2,1,0.59367078,,,,
0,3,1,0.58919162,,,,
0,4,1,0.59171960,,,,
0,5,1,0.58741318,,,,
0,6,1,0.58669216,,,,
0,7,1,0.59595641,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.36843256,,,,
2,1,1,0.37298077,,,,
2,2,1,0.37045927,,,,
2,3,1,0.37158763,,,,
2,4,1,0.36790914,,,,
2,5,1,0.36655010,,,,
2,6,1,0.36173009,,,,
2,7,1,0.36256429,,,,
3,0,1,0.11028155,,,,
3,1,1,0.12636935,,,,
3,2,1,0.12200911,,,,
3,3,1,0.12426440,,,,
3,4,1,0.11877651,,,,
3,5,1,0.11837056,,,,
3,6,1,0.12328711,,,,
3,7,1,0.11246167,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.53753839,,,,
5,1,1,0.53005381,,,,
5,2,1,0.53351194,,,,
5,3,1,0.53772156,,,,
5,4,1,0.53075546,,,,
5,5,1,0.53739383,,,,
5,6,1,0.53717596,,,,
5,7,1,0.53392541,,,,
6,0,1,0.42631796,,,,
6,1,1,0.42501789,,,,
6,2,1,0.41794814,,,,
6,3,1,0.42558871,,,,
6,4,1,0.42565149,,,,
6,5,1,0.42622321,,,,
6,6,1,0.42416712,,,,
6,7,1,0.42818310,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
