k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.72901875,,,,
0,1,1,0.72150409,,,,
0,2,1,0.73026184,,,,
0,3,1,0.73109010,,,,
0,4,1,0.72750144,,,,
0,5,1,0.72332429,,,,
0,6,1,0.72844131,,,,
0,7,1,0.72616983,,,,
1,0,1,0.73925162,,,,
1,1,1,0.74255238,,,,
1,2,1,0.73412080,,,,
1,3,1,0.73464645,,,,
1,4,1,0.73366944,,,,
1,5,1,0.73932699,,,,
1,6,1,0.73689676,,,,
1,7,1,0.73124900,,,,
2,0,1,0.00000000,,,,
2,1,1,0.00000000,,,,
2,2,1,0.00000000,,,,
2,3,1,0.00000000,,,,
2,4,1,0.00000000,,,,
2,5,1,0.00000000,,,,
2,6,1,0.00000000,,,,
2,7,1,0.00000000,,,,
3,0,1,0.69706927,,,,
3,1,1,0.69895078,,,,
3,2,1,0.69652320,,,,
3,3,1,0.70003040,,,,
3,4,1,0.69480145,,,,
3,5,1,0.69491839,,,,
3,6,1,0.70009722,,,,
3,7,1,0.69078263,,,,
4,0,1,0.79425023,,,,
4,1,1,0.79864644,,,,
4,2,1,0.79635101,,,,
4,3,1,0.79508856,,,,
4,4,1,0.78483671,,,,
4,5,1,0.79681423,,,,
4,6,1,0.78743029,,,,
4,7,1,0.79132321,,,,
5,0,1,0.79987906,,,,
5,1,1,0.79849478,,,,
5,2,1,0.78257929,,,,
5,3,1,0.79592826,,,,
5,4,1,0.80117795,,,,
5,5,1,0.79496069,,,,
5,6,1,0.80063624,,,,
5,7,1,0.79760433,,,,
6,0,1,0.76981165,,,,
6,1,1,0.76727488,,,,
6,2,1,0.76586676,,,,
6,3,1,0.76991864,,,,
6,4,1,0.77065374,,,,
6,5,1,0.76839580,,,,
6,6,1,0.76892838,,,,
6,7,1,0.77672929,,,,
7,0,1,0.63844752,,,,
7,1,1,0.64232645,,,,
7,2,1,0.63317379,,,,
7,3,1,0.63762593,,,,
7,4,1,0.63923898,,,,
7,5,1,0.64174470,,,,
7,6,1,0.63311440,,,,
7,7,1,0.63853432,,,,
