k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.69636713,,,,
0,1,1,0.69172980,,,,
0,2,1,0.70335709,,,,
0,3,1,0.69229255,,,,
0,4,1,0.70066041,,,,
0,5,1,0.69020799,,,,
0,6,1,0.70191140,,,,
0,7,1,0.69401217,,,,
1,0,1,0.59820609,,,,
1,1,1,0.60105833,,,,
1,2,1,0.59501205,,,,
1,3,1,0.60167918,,,,
1,4,1,0.59584184,,,,
1,5,1,0.60101156,,,,
1,6,1,0.60110814,,,,
1,7,1,0.59964361,,,,
2,0,1,0.52363621,,,,
2,1,1,0.52438411,,,,
2,2,1,0.53391324,,,,
2,3,1,0.52684019,,,,
2,4,1,0.52714251,,,,
2,5,1,0.52738468,,,,
2,6,1,0.52714200,,,,
2,7,1,0.52457638,,,,
3,0,1,0.74367535,,,,
3,1,1,0.75046463,,,,
3,2,1,0.74673102,,,,
3,3,1,0.71843177,,,,
3,4,1,0.71624056,,,,
3,5,1,0.71426414,,,,
3,6,1,0.71810042,,,,
3,7,1,0.74735448,,,,
4,0,1,0.74440637,,,,
4,1,1,0.74755193,,,,
4,2,1,0.74914532,,,,
4,3,1,0.74917006,,,,
4,4,1,0.74753659,,,,
4,5,1,0.75192534,,,,
4,6,1,0.75235861,,,,
4,7,1,0.75173039,,,,
5,0,1,0.64609079,,,,
5,1,1,0.65425626,,,,
5,2,1,0.64763023,,,,
5,3,1,0.65589391,,,,
5,4,1,0.65184435,,,,
5,5,1,0.65557233,,,,
5,6,1,0.65953126,,,,
5,7,1,0.64959413,,,,
6,0,1,0.75402043,,,,
6,1,1,0.75601682,,,,
6,2,1,0.75446059,,,,
6,3,1,0.75582979,,,,
6,4,1,0.75298006,,,,
6,5,1,0.75080844,,,,
6,6,1,0.75631078,,,,
6,7,1,0.75320959,,,,
7,0,1,0.56897084,,,,
7,1,1,0.57012006,,,,
7,2,1,0.57287026,,,,
7,3,1,0.57144822,,,,
7,4,1,0.57438864,,,,
7,5,1,0.56681711,,,,
7,6,1,0.56741899,,,,
7,7,1,0.57081780,,,,
