k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.74277620,,,,
0,1,1,0.74768869,,,,
0,2,1,0.74684631,,,,
0,3,1,0.74973883,,,,
0,4,1,0.75222181,,,,
0,5,1,0.74685706,,,,
0,6,1,0.74208054,,,,
0,7,1,0.74283134,,,,
1,0,1,0.67920292,,,,
1,1,1,0.68157331,,,,
1,2,1,0.67485079,,,,
1,3,1,0.67334152,,,,
1,4,1,0.67267306,,,,
1,5,1,0.67990487,,,,
1,6,1,0.67858252,,,,
1,7,1,0.67487162,,,,
2,0,1,0.00000000,,,,
2,1,1,0.00000000,,,,
2,2,1,0.00000000,,,,
2,3,1,0.00000000,,,,
2,4,1,0.00000000,,,,
2,5,1,0.00000000,,,,
2,6,1,0.00000000,,,,
2,7,1,0.00000000,,,,
3,0,1,0.77521766,,,,
3,1,1,0.77222081,,,,
3,2,1,0.77200478,,,,
3,3,1,0.77324748,,,,
3,4,1,0.77110565,,,,
3,5,1,0.76887777,,,,
3,6,1,0.76522198,,,,
3,7,1,0.76976723,,,,
4,0,1,0.68969128,,,,
4,1,1,0.69630238,,,,
4,2,1,0.69561546,,,,
4,3,1,0.69939598,,,,
4,4,1,0.69579347,,,,
4,5,1,0.70055533,,,,
4,6,1,0.69952952,,,,
4,7,1,0.69589676,,,,
5,0,1,0.00000000,,,,
5,1,1,0.00000000,,,,
5,2,1,0.00000000,,,,
5,3,1,0.00000000,,,,
5,4,1,0.00000000,,,,
5,5,1,0.00000000,,,,
5,6,1,0.00000000,,,,
5,7,1,0.00000000,,,,
6,0,1,0.55269233,,,,
6,1,1,0.56216658,,,,
6,2,1,0.55498522,,,,
6,3,1,0.55906682,,,,
6,4,1,0.55415574,,,,
6,5,1,0.56013347,,,,
6,6,1,0.55692758,,,,
6,7,1,0.56539147,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
