k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.67726438,,,,
0,1,1,0.67259227,,,,
0,2,1,0.66252893,,,,
0,3,1,0.66776117,,,,
0,4,1,0.67775826,,,,
0,5,1,0.67341003,,,,
0,6,1,0.67377698,,,,
0,7,1,0.66815481,,,,
1,0,1,0.61972519,,,,
1,1,1,0.61928221,,,,
1,2,1,0.61674598,,,,
1,3,1,0.62328647,,,,
1,4,1,0.62048285,,,,
1,5,1,0.62521499,,,,
1,6,1,0.61678637,,,,
1,7,1,0.61140242,,,,
2,0,1,0.74437941,,,,
2,1,1,0.75036969,,,,
2,2,1,0.75684009,,,,
2,3,1,0.75104060,,,,
2,4,1,0.74704074,,,,
2,5,1,0.74674417,,,,
2,6,1,0.75741898,,,,
2,7,1,0.75022976,,,,
3,0,1,0.00000000,,,,
3,1,1,0.00000000,,,,
3,2,1,0.00000000,,,,
3,3,1,0.00000000,,,,
3,4,1,0.00000000,,,,
3,5,1,0.00000000,,,,
3,6,1,0.00000000,,,,
3,7,1,0.00000000,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.77770432,,,,
5,1,1,0.76597833,,,,
5,2,1,0.77102829,,,,
5,3,1,0.77195434,,,,
5,4,1,0.77768262,,,,
5,5,1,0.76729714,,,,
5,6,1,0.76010987,,,,
5,7,1,0.76459373,,,,
6,0,1,0.74638282,,,,
6,1,1,0.74694494,,,,
6,2,1,0.74676301,,,,
6,3,1,0.74728121,,,,
6,4,1,0.74741124,,,,
6,5,1,0.74654344,,,,
6,6,1,0.74988298,,,,
6,7,1,0.74325236,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
