k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.00000000,,,,
1,1,1,0.00000000,,,,
1,2,1,0.00000000,,,,
1,3,1,0.00000000,,,,
1,4,1,0.00000000,,,,
1,5,1,0.00000000,,,,
1,6,1,0.00000000,,,,
1,7,1,0.00000000,,,,
2,0,1,0.75358601,,,,
2,1,1,0.75911092,,,,
2,2,1,0.76854426,,,,
2,3,1,0.76432516,,,,
2,4,1,0.76557772,,,,
2,5,1,0.76328432,,,,
2,6,1,0.76277236,,,,
2,7,1,0.76077894,,,,
3,0,1,0.68177110,,,,
3,1,1,0.68289684,,,,
3,2,1,0.67986658,,,,
3,3,1,0.68188084,,,,
3,4,1,0.68469661,,,,
3,5,1,0.68392418,,,,
3,6,1,0.67924364,,,,
3,7,1,0.67647399,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.69280089,,,,
5,1,1,0.68888475,,,,
5,2,1,0.70240013,,,,
5,3,1,0.68643926,,,,
5,4,1,0.68318600,,,,
5,5,1,0.68922848,,,,
5,6,1,0.69276304,,,,
5,7,1,0.69065239,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.77507425,,,,
7,1,1,0.77644467,,,,
7,2,1,0.77743298,,,,
7,3,1,0.77467676,,,,
7,4,1,0.77004619,,,,
7,5,1,0.77199556,,,,
7,6,1,0.77731115,,,,
7,7,1,0.77497211,,,,
