k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.74220980,,,,
1,1,1,0.74171209,,,,
1,2,1,0.73937482,,,,
1,3,1,0.74280889,,,,
1,4,1,0.73679225,,,,
1,5,1,0.73740537,,,,
1,6,1,0.74636692,,,,
1,7,1,0.73856066,,,,
2,0,1,0.48532976,,,,
2,1,1,0.48464921,,,,
2,2,1,0.48257538,,,,
2,3,1,0.47674614,,,,
2,4,1,0.47727487,,,,
2,5,1,0.47288537,,,,
2,6,1,0.47694497,,,,
2,7,1,0.47312591,,,,
3,0,1,0.61704856,,,,
3,1,1,0.61855120,,,,
3,2,1,0.61470868,,,,
3,3,1,0.61438605,,,,
3,4,1,0.61658232,,,,
3,5,1,0.61366134,,,,
3,6,1,0.61779803,,,,
3,7,1,0.61103631,,,,
4,0,1,0.00000000,,,,
4,1,1,0.00000000,,,,
4,2,1,0.00000000,,,,
4,3,1,0.00000000,,,,
4,4,1,0.00000000,,,,
4,5,1,0.00000000,,,,
4,6,1,0.00000000,,,,
4,7,1,0.00000000,,,,
5,0,1,0.00000000,,,,
5,1,1,0.00000000,,,,
5,2,1,0.00000000,,,,
5,3,1,0.00000000,,,,
5,4,1,0.00000000,,,,
5,5,1,0.00000000,,,,
5,6,1,0.00000000,,,,
5,7,1,0.00000000,,,,
6,0,1,0.00000000,,,,
6,1,1,0.00000000,,,,
6,2,1,0.00000000,,,,
6,3,1,0.00000000,,,,
6,4,1,0.00000000,,,,
6,5,1,0.00000000,,,,
6,6,1,0.00000000,,,,
6,7,1,0.00000000,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
