k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.70038667,,,,
0,1,1,0.68910301,,,,
0,2,1,0.69970664,,,,
0,3,1,0.69836877,,,,
0,4,1,0.70242459,,,,
0,5,1,0.68990347,,,,
0,6,1,0.70079164,,,,
0,7,1,0.69092513,,,,
1,0,1,0.64613150,,,,
1,1,1,0.64266350,,,,
1,2,1,0.64671426,,,,
1,3,1,0.64446769,,,,
1,4,1,0.64622490,,,,
1,5,1,0.64964124,,,,
1,6,1,0.65187362,,,,
1,7,1,0.64875456,,,,
2,0,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
2,1,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
2,2,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
2,3,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
2,4,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
2,5,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
2,6,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
2,7,0,,dag_validation_failed,dag_validation_failed,Node 4: unknown role 'Observation',
3,0,1,0.72537243,,,,
3,1,1,0.72296024,,,,
3,2,1,0.72308216,,,,
3,3,1,0.72016347,,,,
3,4,1,0.71966716,,,,
3,5,1,0.72261084,,,,
3,6,1,0.72538912,,,,
3,7,1,0.72178961,,,,
4,0,1,0.76060557,,,,
4,1,1,0.73827693,,,,
4,2,1,0.75734505,,,,
4,3,1,0.75898141,,,,
4,4,1,0.76122387,,,,
4,5,1,0.75198043,,,,
4,6,1,0.75727410,,,,
4,7,1,0.74868075,,,,
5,0,1,0.55821808,,,,
5,1,1,0.55912955,,,,
5,2,1,0.54422356,,,,
5,3,1,0.55006040,,,,
5,4,1,0.54978549,,,,
5,5,1,0.54555655,,,,
5,6,1,0.54963537,,,,
5,7,1,0.55778110,,,,
6,0,1,0.70254463,,,,
6,1,1,0.70041029,,,,
6,2,1,0.70073898,,,,
6,3,1,0.70316851,,,,
6,4,1,0.70423159,,,,
6,5,1,0.70182528,,,,
6,6,1,0.70857446,,,,
6,7,1,0.70721984,,,,
7,0,1,0.55678518,,,,
7,1,1,0.56208177,,,,
7,2,1,0.56448582,,,,
7,3,1,0.55568102,,,,
7,4,1,0.56116757,,,,
7,5,1,0.55975868,,,,
7,6,1,0.56109441,,,,
7,7,1,0.55809325,,,,
