k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.62055048,,,,
0,1,1,0.61275817,,,,
0,2,1,0.61556030,,,,
0,3,1,0.62335896,,,,
0,4,1,0.62433208,,,,
0,5,1,0.62012813,,,,
0,6,1,0.63002361,,,,
0,7,1,0.61666167,,,,
1,0,1,0.63061646,,,,
1,1,1,0.63598289,,,,
1,2,1,0.62777748,,,,
1,3,1,0.63857039,,,,
1,4,1,0.63525764,,,,
1,5,1,0.62119959,,,,
1,6,1,0.63221950,,,,
1,7,1,0.63312692,,,,
2,0,1,0.00000000,,,,
2,1,1,0.00000000,,,,
2,2,1,0.00000000,,,,
2,3,1,0.00000000,,,,
2,4,1,0.00000000,,,,
2,5,1,0.00000000,,,,
2,6,1,0.00000000,,,,
2,7,1,0.00000000,,,,
3,0,1,0.56027400,,,,
3,1,1,0.55599008,,,,
3,2,1,0.56051925,,,,
3,3,1,0.56395961,,,,
3,4,1,0.56540330,,,,
3,5,1,0.56197742,,,,
3,6,1,0.55636210,,,,
3,7,1,0.56185207,,,,
4,0,1,0.60711014,,,,
4,1,1,0.60312083,,,,
4,2,1,0.59211857,,,,
4,3,1,0.59482313,,,,
4,4,1,0.59907971,,,,
4,5,1,0.60023120,,,,
4,6,1,0.60243483,,,,
4,7,1,0.60006674,,,,
5,0,1,0.68092869,,,,
5,1,1,0.68257763,,,,
5,2,1,0.68401358,,,,
5,3,1,0.68417269,,,,
5,4,1,0.67917816,,,,
5,5,1,0.68379614,,,,
5,6,1,0.68247632,,,,
5,7,1,0.68213213,,,,
6,0,1,0.61664668,,,,
6,1,1,0.62018336,,,,
6,2,1,0.61700936,,,,
6,3,1,0.61232461,,,,
6,4,1,0.62283557,,,,
6,5,1,0.61788400,,,,
6,6,1,0.62556176,,,,
6,7,1,0.62026509,,,,
7,0,1,0.09969623,,,,
7,1,1,0.10976990,,,,
7,2,1,0.10104941,,,,
7,3,1,0.11067202,,,,
7,4,1,0.11187485,,,,
7,5,1,0.11841521,,,,
7,6,1,0.11841521,,,,
7,7,1,0.11315285,,,,
