k,m,success,graph_score,error_stage,error_type,error_message,traceback_file
0,0,1,0.00000000,,,,
0,1,1,0.00000000,,,,
0,2,1,0.00000000,,,,
0,3,1,0.00000000,,,,
0,4,1,0.00000000,,,,
0,5,1,0.00000000,,,,
0,6,1,0.00000000,,,,
0,7,1,0.00000000,,,,
1,0,1,0.56699976,,,,
1,1,1,0.54061472,,,,
1,2,1,0.56600342,,,,
1,3,1,0.56941710,,,,
1,4,1,0.56980425,,,,
1,5,1,0.56644445,,,,
1,6,1,0.56687007,,,,
1,7,1,0.56790439,,,,
2,0,1,0.49381028,,,,
2,1,1,0.50089708,,,,
2,2,1,0.50134999,,,,
2,3,1,0.50051169,,,,
2,4,1,0.50424006,,,,
2,5,1,0.49195237,,,,
2,6,1,0.49632371,,,,
2,7,1,0.50635046,,,,
3,0,1,0.00000000,,,,
3,1,1,0.00000000,,,,
3,2,1,0.00000000,,,,
3,3,1,0.00000000,,,,
3,4,1,0.00000000,,,,
3,5,1,0.00000000,,,,
3,6,1,0.00000000,,,,
3,7,1,0.00000000,,,,
4,0,1,0.46377463,,,,
4,1,1,0.46670091,,,,
4,2,1,0.46648846,,,,
4,3,1,0.45869057,,,,
4,4,1,0.46988776,,,,
4,5,1,0.45366641,,,,
4,6,1,0.45900356,,,,
4,7,1,0.46120788,,,,
5,0,1,0.62630211,,,,
5,1,1,0.61684402,,,,
5,2,1,0.63501025,,,,
5,3,1,0.62972142,,,,
5,4,1,0.62671061,,,,
5,5,1,0.63146169,,,,
5,6,1,0.62978806,,,,
5,7,1,0.63248035,,,,
6,0,1,0.64809161,,,,
6,1,1,0.65286043,,,,
6,2,1,0.64371516,,,,
6,3,1,0.64754879,,,,
6,4,1,0.64395708,,,,
6,5,1,0.64817000,,,,
6,6,1,0.65231647,,,,
6,7,1,0.64316769,,,,
7,0,1,0.00000000,,,,
7,1,1,0.00000000,,,,
7,2,1,0.00000000,,,,
7,3,1,0.00000000,,,,
7,4,1,0.00000000,,,,
7,5,1,0.00000000,,,,
7,6,1,0.00000000,,,,
7,7,1,0.00000000,,,,
